1:1	Lii mooy cosaanu Yeesu Kirist, sëtu Daawuda, sëtu Ibraayma.
8:9	Ndaxte man itam maa ngi nekk ci ndigal, te ame naa ay xarekat ci sama ndigal. Su ma nee kii: “Demal,” mu dem. Mbaa ma ne keneen ki: “Ñëwal,” mu ñëw. Te su ma nee sama jaam: “Defal lii,” mu def ko.»
8:10	Bi ko Yeesu déggee, mu waaru, ne ña topp ci moom: «Ci dëgg maa ngi leen koy wax, musumaa gis ci bànni Israyil ku gëme ni kii.
8:11	Maa ngi leen koy wax, ñu bare dinañu ñëw, jóge ci penku ak sowu, bokk lekk ak Ibraayma ak Isaaxa ak Yanqóoba ci nguuru Yàlla Aji Kawe ji.
8:12	Waaye ñi waroon a bokk ca nguur ga, dees na leen sànni ci biti ci lëndëm gi. Foofa dees na fa jooy tey yéyu.»
8:13	Ci kaw loolu Yeesu wax njiit la ne ko: «Ñibbil, na ame, ni nga ko gëme.» Noonu ca waxtu woowa sax surga ba daldi wér.
8:14	Gannaaw loolu Yeesu dem kër Piyeer. Ba mu eggee, mu fekk gorob Piyeer bu jigéen tëdd ak yaram wu tàng.
8:15	Bi mu ko gisee, Yeesu laal loxoom, tàngoor wa daldi wàcc; soxna sa jóg, di ko topptoo.
8:16	Ca ngoon sa ñu indil ko ñu bare ñu rab jàpp. Yeesu dàq rab ya ak kàddoom te faj ñi wopp ñépp.
8:17	Loolu mu def, def na ko, ngir la ñu waxoon jaarale ko ci yonent Yàlla Esayi am, bi mu naan:«Fab na sunuy wopp, gàddu sunuy jàngoro.»
8:18	Bi Yeesu gisee mbooloo ma ko wër nag, mu sant taalibe ya, ñu jàll dex ga.
8:19	Laata ñuy jàll, benn xutbakat daldi ñëw ci moom ne ko: «Kilifa gi, dinaa la topp fépp foo jëm.»
8:20	Waaye Yeesu tontu ko ne: «Till yi am nañu seeni kàmb, te picci asamaan am nañu ay tàgg, waaye Doomu nit ki amul fu mu noppal boppam.»
8:21	Noonu keneen ca taalibe ya ne ko: «Sang bi, may ma, ma jëkk a dem suuli sama baay.»
8:22	Yeesu tontu ko ne: «Toppal ci man te bàyyi ñi dee, ñu suul seeni néew.»
8:23	Bi mu ko waxee, Yeesu dugg ca gaal ga, ay taalibeem topp ko.
8:24	Ca saa sa ngelaw lu bare daldi yengal dex ga, ba duus ya sàng gaal ga. Fekk booba Yeesu nelaw.
8:25	Noonu taalibe ya daldi jegesi, yee ko naan: «Sang bi, musal nu, nu ngiy dee.»
8:26	Waaye Yeesu tontu leen: «Yéen ñi néew ngëm, lu tax ngeen tiit?» Ci kaw loolu mu jóg, daldi gëdd ngelaw li ak duus yi. Lépp dal, ba ne nemm.
8:27	Bi ko nit ña gisee, ñu waaru naan: «Kii kan la ci biir nit ñi, ba ngelaw li ak dex gi di ko déggal?»
8:28	Bi Yeesu jàllee nag, ba teer ca diiwaanu waa Gadara, ñaar ñu rab jàpp daldi génn ca sëg ya, ñëw kar ko. Ñaar ñooñu nag, ñu soxor lañu woon, ba kenn ñemewul woon a jaar foofa.
8:29	Ña rab jàpp daldi xaacu naan: «Yaw Doomu Yàlla ji, loo nuy fexeel? Ndax danga noo bëgg a mbugal, bala waxtu way jot?»
8:30	Fekk amoon na ca wet ya géttu mbaam-xuux yu bare yuy for.
8:31	Rab ya nag ñaan ko ne: «Boo nu dàqee, sànni nu ca géttu mbaam-xuux ya.»
8:32	Yeesu ne leen: «Demleen.» Rab ya nag daldi génn, dugg ca mbaam-xuux ya, ñu daldi bartalu, daanu ca dex ga, lab ca ndox ma.
8:33	Ba sàmm ya gisee loolu, ñu daw, dem dëkk ba, nettaliji lépp ak la xewoon ca ña rab jàpp.
8:34	Noonu dëkk ba bépp génn seeti Yeesu. Ba ñu ko gisee nag, ñu ñaan ko, mu génn seen réew.
9:1	Bi loolu amee Yeesu dugg cig gaal, jàll dex ga, dellu dëkkam.
9:2	Foofa ñu indil ko ku tëdd ci basaŋ, fekk yaramam wépp làggi. Bi Yeesu gisee seen ngëm, mu ne ku làggi ka: «Na sa xel dal, sama waay, baal nañu la say bàkkaar.»
9:3	Bi mu waxee loolu, ay xutbakat daldi ne ci seen biir: «Nit kii mu ngi sosal Yàlla.»
9:4	Waaye Yeesu xam seen xalaat ne leen: «Lu tax ngeen am xalaat yu bon ci seen xol?
9:5	Ma wax ne: “Baal nañu la say bàkkaar,” walla ma ne: “Jógal te dox,” lan moo ci gën a yomb?
9:6	Waaye xamleen ne, Doomu nit ki am na ci àddina sañ-sañu baale bàkkaar yi.» Ci kaw loolu Yeesu ne ku làggi ka: «Jógal, jël sa basaŋ te nga ñibbi.»
9:7	Noonu làggi ba daldi jóg, ñibbi.
9:8	Ba mbooloo ma gisee loolu, ñu daldi ragal te màggal Yàlla, mi dénk sañ-sañ bu tollu noonu doom Aadama yi.
9:9	Bi Yeesu jógee foofa, mu gis nit ku tudd Macë, toog ca juuti ba. Yeesu ne ko: «Kaay topp ma.» Noonu Macë jóg, daldi ko topp.
9:10	Gannaaw ga Yeesu doon lekk ca kër ga, te ay juutikat ak i boroom bàkkaar yu bare dikk, bokk lekk ak Yeesu ak taalibeem ya.
9:11	Bi ko Farisen ya gisee nag, ñu ne taalibe ya: «Lu tax seen kilifa di lekkandoo ak ay juutikat ak ay boroom bàkkaar?»
9:12	Waaye bi ko Yeesu déggee, mu ne: «Ñi wér soxlawuñu fajkat, ñi wéradi ñoo ko soxla.
9:13	Mbind mi nee na: “Yërmande laa bëgg, waaye du rendi saraxi mala.” Demleen nag te seet lu wax joojuy tekki. Ndaxte ñëwuma, ngir woo ñi jub, waaye bàkkaarkat yi laay woo.»
9:14	Gannaaw loolu taalibey Yaxya ñëw ci Yeesu ne ko: «Lu tax nuy woor, nun ak Farisen yi, te say taalibe duñu woor?»
9:15	Yeesu tontu leen: «Ndax gan yi ñëw ci céet dinañu naqarlu dara, li feek boroom céet gaa ngi ànd ak ñoom? Waaye bés yaa ngi ñëw yu ñuy jële boroom céet gi ci seen biir; booba nag dinañu woor.
9:16	Xam ngeen ne, kenn du daax mbubb mu màggat ak sekkit wu bees; ndaxte sekkit wi day ñoddi mbubb mi, te xottiku bi gën a yaatu.
9:17	Te it duñu def biiñ bu bees ci mbuusi der yu màggat. Lu ko moy, mbuus yi dañuy toj, biiñ bi tuuru te mbuus yi yàqu. Waaye biiñ bu bees, dees na ko def ci mbuus yu bees. Noonu ñoom ñaar duñu yàqu.»
9:18	Bi leen Yeesu di wax loolu, benn njiitu jàngu daldi ñëw, sukk ci kanamam ne ko: «Sama doom ju jigéen dafa faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»
9:19	Noonu Yeesu jóg, topp ko, moom ak ay taalibeem.
9:20	Bi ñuy dem nag, amoon na ca mbooloo ma jigéen juy xëpp deret diirub fukki at ak ñaar. Mu defe ne, su laalee mbubbam rekk, dina wér. Mu jegeñsi Yeesu nag, doxe ko gannaaw, laal catu mbubbam.
9:22	Bi mu ko defee Yeesu woññiku ne ko: «Na sa xel dal, soxna si, sa ngëm faj na la.» Noonu jigéen ja daldi wér ca saa sa.
9:23	Bi Yeesu eggee kër njiit la, mu gis ñiy liit ak toxoro, ak mbooloo may def coow lu bare.
9:24	Mu ne leen: «Génnleen, janq bi deewul, day nelaw rekk.» Bi ko mbooloo ma déggee, ñu daldi ko ñaawal.
9:25	Waaye ñu génne leen, Yeesu dugg, jàpp loxob janq ba, mu daldi jóg.
9:26	Noonu xebaaru li mu def daldi siiw ca réew ma.
9:27	Bi Yeesu jógee foofa, ñaari gumba topp ko, di wax ca kaw naan: «Yërëm nu, yaw Sëtu Daawuda bi!»
9:28	Noonu Yeesu dugg ca kër ga, gumba ya toppsi ko. Yeesu ne leen: «Ndax gëm ngeen ne, man naa def li ngeen ma laaj?» Ñu tontu ko: «Waaw Sang bi.»
9:29	Kon Yeesu daldi laal seeni bët ne leen: «Na am, ni ngeen ko gëme.»
9:30	Ca saa sa seeni bët daldi ubbiku. Yeesu dénk leen bu wér ne leen: «Moytuleen kenn xam ko.»
9:31	Waaye ñu génn rekk, siiwal turam fu nekk.
9:32	Bi ñu fa jógee nag, amoon na ñeneen ñu ñëw fi moom, indil ko ku rab jàpp, mu luu.
9:33	Yeesu dàq rab wa, luu ba daldi wax. Bi ñu ko gisee, mbooloo ma waaru, ñu ne: «Lu mel nii, musuñu koo gis ci Israyil.»
9:34	Waaye Farisen ya ne: «Ci kàttanu buuru rab yi lay dàqe rab yi.»
9:35	Noonu Yeesu wër dëkk yu mag ya yépp ak yu ndaw ya, di leen jàngal ci seeni jàngu, tey yégle xebaar bu baax bi jëm ci nguuru Yàlla, di faj jàngoro yépp ak wéradi yépp.
9:36	Bi Yeesu gisee mbooloo ma, mu yërëm leen, ndaxte dañoo sonn ba ne yogg, mel ni xar yu amul sàmm.
9:37	Noonu mu ne taalibeem ya: «Ngóob mi yaatu na, waaye liggéeykat yi barewuñu.
9:38	Ñaanleen nag Boroom ngóob mi, mu yebal ay liggéeykat, ñu góob toolam.»
10:1	Noonu Yeesu woo ca moom fukki taalibeem ya ak ñaar, jox leen sañ-sañu dàq rab yi, tey faj jàngoro yépp ak wéradi yépp.
10:2	Fukki ndaw ak ñaar, ya Yeesu yónni woon nag, nii lañu tuddoon: ku jëkk ki mooy Simoŋ mi ñuy wax Piyeer, ak Andare mi bokk ak moom ndey ak baay; Saag doomu Sebede, ak Yowaana rakkam;l
10:3	Filib ak Bartelemi; Tomaa ak Macë, juutikat ba woon; Saag doomu Alfe, ak Tade;l
10:4	Simoŋ, mi bokk ca mbooloo, ma ñu tudde Ñi farlu ci moom seen réew; ak Yudaa Iskariyo, mi nar a wor Yeesu.
10:5	Yeesu yónni fukk ñooñule ak ñaar, jox leen ndigal ne leen: «Buleen dem ci ñi dul Yawut mbaa dugg ci benn dëkku waa Samari.
10:6	Waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.
10:7	Bu ngeen demee nag, yégleleen naan: “Nguuru Yàlla Aji Kawe ji jegesi na.”
10:8	Fajleen ñi wopp, dekkal ñi dee, fajleen gaana yi te dàq rab yi. Cig neen ngeen ame, mayeleen cig neen.
10:9	Buleen dajale wurus, xaalis mbaa xànjar ci seeni maxtume.
10:10	Buleen wut it mbuus ngir tukki mbaa ñaari turki, ay dàll mbaa aw yet, ndaxte liggéeykat yeyoo na dundam.
10:11	«Bu fekkee ne agsi ngeen ci dëkk bu mag mbaa bu ndaw, nangeen fa seet ku fa am faayda, dal ca moom ba kera ngeen jóge dëkk ba.
10:12	Bu ngeen di dugg ci kër nag, nuyooleen.
10:13	Bu fekkee ne kër ga yeyoo na ko, na seen jàmm wàcc ci ñoom, waaye bu ko yeyoowul, na seen yéene dellusi ci yéen.
10:14	Koo xam ne gàntu na leen, mbaa mu tanqamlu seeni wax, génnleen ca kër ga mbaa ca dëkk ba, yëlëb seen pëndu tànk.
10:15	Ci dëgg maa ngi leen koy wax, keroog bésub àtte ba, waa réewu Sodom ak Gomor ñooy tane dëkk boobu.
10:16	«Dégluleen, maa ngi leen di yónni, mel ni ay xar ci biir ay bukki. Muusleen nag niy jaan, te lewet niy pitax.
10:17	Waaye moytuleen nit ñi, ndaxte dinañu leen jébbal àttekat yi te dóor leen ay yar ci seeni jàngu.
10:18	Dees na leen yóbbu ngir man ci kanami boroom réew ak i buur, ngir ngeen seede ma ci ñoom ak ci ñi dul Yawut.
10:19	Boo xamee ne nag jébbale nañu leen, buleen am xel ñaar ci li ngeen di wax, mbaa ni ngeen koy waxe. Ndaxte ca waxtu woowa sax dingeen jot li ngeen war a wax;
10:20	du yéenay wax, waaye Xelum seen Baay mooy wax ci yéen.
10:21	«Mag dina joxe rakkam ci dee, baay joxe doomam; ay doom it dinañu jóg, bañ seeni waajur, di leen reylu.
10:22	Te yéen nag, ñépp dinañu leen bañ ndax sama tur; waaye ku muñ ba muj ga, mucc.
10:23	Boo xamee ne fitnaal nañu leen ci dëkk bii, demleen ca ba ca kanam. Ci dëgg maa ngi leen koy wax, dungeen man a wër dëkki Israyil yépp, te Doomu nit ki ñëwul.»
10:24	Yeesu teg ca ne: «Taalibe gënul kilifaam, te jaam gënul sangam.
10:25	Bu taalibe yemee ak kilifaam demin, doy na; jaam it ni sangam. Ndegam tudde nañu boroom kër gi Beelsebul, astemaak waa kër gi.
10:26	Kon nag buleen leen ragal, ndaxte amul dara lu nëbbu, lu ñu warul a biral, mbaa luy kumpa lu ñu warul a siiwal.
10:27	Li ma leen wax ci biir lëndëm, waxleen ko ci leer; li ma leen déey, yégleleen ko ci kaw taax yi.
10:28	Te buleen ragal ñu man a rey yaram, te mënuñoo rey ruu, waaye ragal-leen Ki man a sànk yaram ak ruu ci safara.
10:29	Ñaari picci rammatu, ndax duñu ko jaay ci dërëm? Waaye benn ci ñoom du daanu ci suuf te soobul seen Baay.
10:30	Seen kawari bopp sax, waññees na leen.
10:31	Kon buleen ragal dara, yéena gën ndiiraanu rammatu.
10:32	«Koo xam ne nangu nga ma ci kanamu nit ñi, man itam dinaa la nangu ci sama kanamu Baay, bi nekk ci kaw.
10:33	Waaye ku ma gàntu ci kanamu nit ñi, man itam dinaa la gàntu ci sama kanamu Baay, bi nekk ci kaw.
10:34	«Te it buleen defe ne, damaa ñëw ngir indi jàmm ci àddina; ñëwuma ngir indi jàmm, waaye jaasi laa indaale.
10:35	Ndaxte ñëw naa ngir féewale doom ak baayam, doom ju jigéen ak ndeyam, jabar ak goroom;
10:36	te nooni nit ñooy waa këram.
10:37	Ku ma gënalul sa ndey walla sa baay, yeyoowuloo ma; ku ma gënalul sa doom ju góor walla ju jigéen, yeyoowuloo ma.
10:38	Koo xam ne kii nanguwuloo ñàkk sa bakkan, ba mel ni ku ñu daaj ci bant, te nga topp ma, yeyoowuloo ma.
10:39	Kuy rawale sa bakkan, ñàkk ko, te ku ñàkk sa bakkan ndax man, jotaat ko.
10:40	«Te lii itam am na, ku leen nangu, nangu na ma, te ku ma nangu, nangu na ki ma yónni.
10:41	Ku nangu yonent ndax yónnentam, dina jot ci peyu yonent; te ku nangu ku jub ndax njubteem, dina jot ci peyu ku jub.
10:42	Ci dëgg maa ngi leen koy wax, koo xam ne kii may na kaasu ndox mu sedd rekk kenn ci ñi gën a ndaw, ndax sama taalibe la, kooku du ñàkk yoolam mukk.»
11:1	Ba Yeesu joxee fukki taalibeem ya ak ñaar ndigal yooyu, mu jóge fa, ngir dem jàngaleji ak a waare ci seeni dëkk.
11:2	Gannaaw loolu Yaxya dégg ca kaso ba jëfi Almasi bi. Mu yónni ci moom nag ay taalibeem,
11:3	ne ko: «Ndax yaa di Ki war a ñëw, walla danoo war a xaar keneen?»
11:4	Yeesu tontu leen ne: «Demleen nettali Yaxya li ngeen dégg te gis ko.
11:5	Gumba yaa ngi gis, lafañ yiy dox, gaana yi wér, tëx yiy dégg, ñi dee di dekki, te ñi woyoflu ñu ngi dégg xebaar bu baax bi.
11:6	Yaw mi sa ngëm yolomul ndax man, barkeel nga.»
11:7	Bi nga xamee ne taalibe ya Yaxya yónni woon ci Yeesu dem nañu, Yeesu daldi wax ak mbooloo ma ci mbirum Yaxya ne leen: «Lu ngeen seeti woon ca màndiŋ ma? Xanaa barax buy jaayu ci ngelaw li?
11:8	Kon lu ngeen seeti woon nag? Nit ku sol yére yu rafet? Waaye ñi sol yére yu rafet ñu ngi dëkk ci këri buur.
11:9	Lu tax ngeen génn nag? Ngir gis ab yonent? Waaw, wax naa leen ne, ëpp na yonent.
11:10	Yaxya male moo di ki ñu waxoon ci Mbind mi naan:“Maa ngi yónni sama ndaw, mu jiitu la,te xàllal la yoon ci sa kanam.”
11:11	Ci dëgg maa ngi leen koy wax, ci li jigéen jur, ku sut Yaxya musul a feeñ. Waaye ba tey ki gën a ndaw ci nguuru Yàlla Aji Kawe ji moo ko sut.
11:12	Ci li dale ci jamonoy Yaxya ba léegi, nit ñaa ngi góor-góorlu ngir dugg ci nguuru Yàlla, te ñi sawar ñoo ci am wàll.
11:13	Ndaxte li yonent yi wax ak li yoonu Musaa tëral ñu ngi doon dox, ba kera Yaxya di feeñ.
11:14	Te Yaxya moomu, su ngeen bëggee nangu lii, mooy Iliyas bi waroon a ñëw.
11:15	Déglul bu baax, yaw mi am ay nopp.
11:16	«Niti jamono jii nag, lan laa leen man a mengaleel? Ñu ngi nirook xale yu toog ca pénc ma, di woo seeni xarit,
11:17	ne leen:“Liital nanu leen ak toxoro, te fecculeen,woyal nanu leen woyi dëj, te jooyuleen.”
11:18	Ndaxte Yaxya feeñ na, lekkul, naanul, ngeen daldi ne: “Dafa ànd ak rab.”
11:19	Gannaaw gi nag, Doomu nit ki ñëw na, lekk, naan, ngeen daldi ne: “Kii daal bëgg na lekk, di naan biiñ, tey xaritoo ak ay juutikat ak ay boroom bàkkaar.” Waaye li xam-xamu Yàlla di jur, mooy firndeel ne dëgg la.»
11:20	Gannaaw loolu Yeesu daldi gëdd dëkk, ya mu defe woon la ëpp cay kéemaanam, ndaxte tuubuñu seeni bàkkaar.
11:21	Mu ne: «Dingeen torox, yéen waa Korasin ak waa Betsayda, ndaxte kéemaan yi ma def ci yéen, bu ñu leen defoon ci dëkku Tir walla ci dëkku Sidon, kon réccu nañu bu yàgg, xëppoo dóom, sol saaku.
11:22	Waaye maa ngi leen koy wax, keroog bés pénc ma Tir ak Sidon ñoo leen di tane.
11:23	Te yaw dëkku Kapernawum, ndax dees na la yékkati bu kawe? Déedéet, dees na la daane bu suufe. Ndaxte kéemaan yi ma def ci yaw, bu ñu leen defoon ci dëkku Sodom, kon mu nekk ba tey.
11:24	Waaye maa ngi leen koy wax, keroog bés pénc ma Sodom moo lay tane.»
11:25	Ca jamono joojale Yeesu wax na lii: «Yaw Baay bi, Boroom asamaan ak suuf, maa ngi lay sant ci li nga nëbb yëf yii ñi am xam-xam ak ñi am xel, te xamal leen gune yi.
11:26	Waaw Baay bi, ndaxte looloo la neex.»
11:27	Yeesu teg ca ne: «Sama Baay jébbal na ma lépp, te kenn mënu maa xam, man Doom ji, ku dul Baay bi; kenn it mënul a xam Baay bi, ku dul man Doom ji, ak ku ma ko bëgg a xamal.
11:28	«Ñëwleen ci man, yéen ñépp ñi sonn te diis, dinaa leen may noflaay.
11:29	Jébbaluleen ci man te jàng ci man, ndaxte lewet naa te woyof, te dingeen am noflaay ci seen xol.
11:30	Ndaxte sama kilifteef lewet na te sama yen diisul.»
12:1	Amoon na benn bésu noflaay Yeesu jaar ci ay tool yu ñor, fekk ay taalibeem xiif; ñu daldi fàq ay gub nag, di lekk.
12:2	Farisen ya nag gis ko, ne Yeesu: «Gisal, say taalibe ñu ngi def lu jaaduwul ci bésu noflaay bi.»
12:3	Noonu Yeesu tontu leen: «Ndax jànguleen la Daawuda defoon, ba mu xiifee, moom ak ña mu àndaloon?
12:4	Xanaa yéguleen, ni mu dugge woon ca kër Yàlla ga, gis fa mburu, ya ñu jébbal Yàlla, mu daldi ko lekk. Fekk jaaduwul mu lekk ca, moom walla ña mu àndaloon; saraxalekat rekk a ko sañoon a lekk.
12:5	Te it ndax jànguleen ci yoonu Musaa, ne saraxalekat ya ca kër Yàlla ga teraluñu bésu noflaay bi, te tooñuñu?
12:6	Waaye maa ngi leen koy wax, am na ci seen biir ku sut kër Yàlla ga.
12:7	Mbind mi nee na: “Yërmande laa bëgg, waaye du rendi saraxi mala.” Su ngeen xamoon lu wax joojuy tekki, kon dungeen teg tooñ ñi tooñul.
12:8	Ndaxte Doomu nit ki mooy boroom bésu noflaay bi.»
12:9	Bi loolu amee Yeesu jóge foofa, dugg ci seen jàngu,
12:10	te amoon na fa nit ku loxoom làggi. Noonu Farisen ya laaj ko: «Faj ci bésu noflaay bi, ndax loolu jaadu na?» Fekk ñuy wut buntu tuumaal ko.
12:11	Yeesu tontu leen: «Ku fi amoon xar, mu daanu ci kàmb ci bésu noflaay bi, ndax doo ko jàpp, génne ko?
12:12	Nit nag, ndax ëppul maana xar? Kon def lu baax ci bésu noflaay bi jaadu na.»
12:13	Noonu Yeesu ne nit ka: «Tàllalal sa loxo!» Mu tàllal ko nag, loxoom daldi wér, mel ni ba ca des.
12:14	Farisen ya génn nag, daldi gise, ngir fexee reylu Yeesu.
12:15	Waaye bi ko Yeesu yégee, mu sore foofa; te ñu bare topp ko, mu wéral leen ñoom ñépp.
12:16	Te mu dénk leen bu wóor, ñu bañ koo siiwal.
12:17	Def na noonu, ngir amal la ñu waxoon jaarale ko ci yonent Yàlla Esayi, bi mu naan:
12:18	«Kii mooy sama Ndaw li ma tànn,di sama Soppe bi neex sama xol.Dinaa def sama Xel ci moom,muy yégal xeet yi yoonu njub.
12:19	Du xëccoo mbaa muy wax ci kaw,te kenn du dégg baatam ci mbedd yi.
12:20	Du dammaate barax bu banku,te mees guy saxar, du ko fey,ba kera mu yégal njub, ba daan.
12:21	Ci turam la xeet yi di ame yaakaar.»
12:22	Booba ñu indil ko ku rab jàpp, mu gumba te luu. Yeesu faj ko, ba ku luu ki di wax tey gis.
12:23	Noonu mbooloo mépp yéemu naan: «Ndax kii du Sëtu Daawuda bi?»
12:24	Bi Farisen ya déggee loolu nag, ñu ne: «Kii ci kàttanu Beelsebul, buuru rab yi, lay dàqe rab yi.»
12:25	Waaye Yeesu xam seen xalaat ne leen: «Réew mu xeex boppam tas, te dëkk mbaa kër guy xeex boppam du man a yàgg.
12:26	Bu Seytaane dàqee Seytaane nag, xeex na boppam; kon naka la nguuram di man a yàgge?
12:27	Te it bu fekkee ne man damay dàq ay rab ci kàttanu Beelsebul, seeni taalibe nag, ci gan kàttan lañu leen di dàqe? Kon ñoo leen di àtte.
12:28	Waaye bu fekkee ne ci Xelum Yàlla laay dàqe rab, kon nguuru Yàlla agsi na ba ci yéen.
12:29	«Su fi amee nit ku bare doole, te nit bëgg a dugg ci këram, nangu alalam, naka la koy defe? Xanaa dafay jëkk a yeew ku bare doole ka, ba noppi door a toj këram gépp.
12:30	Noonu ku farul ak man, yaa ngi may xeex, ku dajalewul ak man, yaa ngi tasaare.»
12:31	Yeesu teg ca ne: «Loolu moo tax maa ngi leen koy wax, bàkkaar walla sos wu mu man a doon, dinañu ko baale, waaye ku sosal Xelum Yàlla, duñu ko baal.
12:32	Ku sosal Doomu nit ki, dinañu ko baal, waaye ku sosal Xel mu Sell mi, duñu ko baal mukk, du ci àddina si, du ci àllaaxira.
12:33	Neeleen garab gi baax na, moom ak meññeefam, walla ngeen ne garab gi bon na, moom ak meññeefam; ndaxte garab, meññeefam lañu koy xàmmee.
12:34	Yéen ñi fees ak daŋar ni ay co, naka ngeen man a waxe lu baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.
12:35	Noonu nit ku baax, lu baax lay wax, jële ko ca fa mu denc lu baax, te nit ku bon, lu bon lay wax, jële ko ca fa mu denc lu bon.
12:36	Maa ngi leen di wax ne, keroog bés pénc, nit ñi dinañu làyyi ndax wax ju nekk ju amul njariñ, ju ñu mas a wax.
12:37	Ndaxte dees na la àtte ni ku jub ci say wax, walla ñu daan la ci say wax.»
12:38	Ci kaw loolu ay xutbakat ak ay Farisen wax ak Yeesu ne ko: «Kilifa gi, danoo bëggoon, nga won nu kéemaan guy firndeel sag yónnent.»
12:39	Yeesu tontu leen: «Yéenay laaj firnde, yéen niti jamono ju bon jii, yéen ñi fecci seen kóllëre ak Yàlla, waaye dungeen jot genn firnde gu dul firndeg yonent Yàlla Yunus.
12:40	Ndaxte ni Yunus nekke woon ñetti guddi ak ñetti bëccëg ci biir rabu géej wu mag, noonu la Doomu nit ki di nekke ñetti guddi ak ñetti bëccëg ci biir suuf.
12:41	Keroog bés pénc waa dëkku Niniw dinañu jógandoo ak niti jamono jii, yey leen; ndaxte bi leen Yunus waaree, tuub nañu seeni bàkkaar, te ku sut Yunus a ngi fi.
12:42	Te it ca bés pénc buur bu jigéen, ba dëkkoon ca sudd, dina jógandoo ak niti jamono jii, yey leen; ndaxte dafa jóge ca catul àddina, ngir déglu xam-xamu Suleymaan, te ku sut Suleymaan a ngi fi.
12:43	«Boo xamee ne rab wa jàppoon nit génn na ci moom, day wër ay bérab yu wow, di wut fu mu noppaloo, waaye du ko gis.
12:44	Noonu da naan: “Naa dellu ca sama kër, ga ma génne woon.” Bu ñëwee nag, mu fekk kërug neen, ñu bale ko, defar ko ba lépp jekk.
12:45	Bu ko gisee nag, mu dem wooyi yeneen juróom-ñaari rab yu ko gën a soxor, ñu dugg, sanc fa; ba tax muju nit kooku mooy yées njàlbéenam. Noonu lay nekke ak niti jamono ju bon jii.»
12:46	Bi Yeesu nekkee di wax ak mbooloo ma, ndeyam ak ay rakkam daldi ñëw, taxaw ci biti, bëgg a wax ak moom.
12:47	Noonu kenn nit ne ko: «Sa yaay ak say rakk ñu ngi nii taxaw ci biti, bëgg a wax ak yaw.»
12:48	Waaye Yeesu tontu ko ne: «Kan mooy sama ndey ak ñan ñooy samay rakk?»
12:49	Noonu mu joxoñ ay taalibeem naan: «Ñii ñooy sama ndey ak samay rakk.
12:50	Ndaxte ku def sama coobareg Baay bi nekk ci kaw, yaa di sama rakk, sama jigéen ak sama ndey.»
13:1	Bés booba Yeesu génnoon na ca kër ga, toog ca wetu dex ga.
13:2	Mbooloo mu bare dajaloo ca moom, ba tax mu dugg cig gaal, toog; mbooloo mépp taxaw ca tefes ga.
13:3	Noonu Yeesu dégtal leen lu bare ciy léeb ne leen: «Dafa amoon beykat bu demoon jiyi.
13:4	Bi muy saaw toolam nag, lenn ci pepp mi wadd ci kaw yoon wi, picc yi daldi ñëw, lekk ko lépp.
13:5	Leneen ci pepp mi wadd ci bérab bu bare ay doj te néew suuf, mu daldi sax bu gaaw, ndaxte suuf si barewul.
13:6	Waaye bi jant bi naajee, mu lakk, wow, ndaxte amul ay reen.
13:7	Leneen nag wadd ci biir ay xaaxaam, xaaxaam yi daldi jóg, tanc ko.
13:8	Li ci des dal ci suuf su baax, nangu ba def ay gub; lii àntu ba mat téeméeri yoon lu ëpp la mu ji woon, lii mat juróom-benn-fukk, li ci des fanweer.
13:9	Déglul bu baax, yaw mi am ay nopp.»
13:10	Bi Yeesu waxee ba noppi, ay taalibeem jegeñsi, laaj ko lu tax mu di leen wax ciy léeb.
13:11	Noonu mu tontu leen ne: «May nañu leen, ngeen xam mbóoti nguuru Yàlla Aji Kawe ji, waaye ñale mayuñu leen ko.
13:12	Ndaxte ku am, dinañu la dollil, ba nga barele; waaye ku amul, li nga am as néew, dinañu ko nangu.
13:13	“Dañuy xool te duñu gis, di déglu waaye duñu dégg te duñu xam,” moo tax ma di leen wax ciy léeb.
13:14	Li Esayi waxoon ci kàddug Yàlla am na ci ñoom, bi mu naan:“Dingeen déglu bu baaxwaaye dungeen xam dara;di xool bu baax waaye dungeen gis dara.
13:15	Ndaxte xolu xeet wii dafa dërkiis;dañuy déglu ak nopp yu naqari,tey gëmm seeni bët,ngir bañ a gis ak seeni bët,dégg ak seeni nopp,te xam ci seen xol,ñu woññiku ci man, ma wéral leen.”
13:16	«Waaye yéen barkeel ngeen, ndaxte seeni bët a ngi gis te seeni nopp di dégg!
13:17	Ndaxte ci dëgg maa ngi leen koy wax, ay yonent yu bare ak nit ñu jub ñu bare bëggoon nañu gis li ngeen di gis waaye gisuñu ko, te dégg li ngeen di dégg waaye dégguñu ko.
13:18	«Yéen nag dégluleen li léebu beykat biy tekki.
13:19	Boo xamee ne nit mu ngi déglu wax ju jëm ci nguuru Yàlla te xamu ko, Ibliis day ñëw, këf li ñu def ci xolam; kooku mooy ki jot ci jiwu wi ci kaw yoon wi.
13:20	Ki jot ci jiwu wi ci bérab bu bare ay doj nag, mooy ki dégg wax ji, am ci bànneex bu gaaw;
