1:1	Xebaar bu baaxu Yeesu Kirist, Doomu Yàlla, nii la tàmbalee.
6:32	Noonu ñu dugg cig gaal, dem ca bérab bu wéet.
6:33	Bi ñuy dem nag, am ñu leen gis, xàmmi leen, ñu daldi jóge ci dëkk yépp, daw, jiitu leen fa.
6:34	Bi Yeesu génnee gaal gi, mu gis mbooloo mu réy, yërëm leen, ndaxte dañoo mel ni xar yu amul sàmm. Kon mu daldi leen jàngal lu bare.
6:35	Ca ngoon sa taalibe yi ñëw ci moom ne ko: «Fii àllub neen la, te léegi mu guddi.
6:36	Yiwil mbooloo mi nag, ñu dugg ci àll bi ak dëkk yi nu wër, jënd lu ñu lekk.»
6:37	Waaye Yeesu tontu leen ne: «Yéen joxleen leen lu ñu lekk.» Ñu ne ko: «Xanaa nu jënd lu tollook peyu juróom-ñetti weer ci mburu, jox leen ñu lekk?»
6:38	Yeesu laaj leen: «Ñaata mburu ngeen am? Demleen seeti.» Ñu dem seeti ne ko: «Juróomi mburu ak ñaari jën.»
6:39	Noonu Yeesu sant mbooloo mi, ñu def ay géew, toog ci ñax mu naat mi.
6:40	Ñu toog nag ay géewi juróom-fukk ak téeméer.
6:41	Bi loolu amee Yeesu jël juróomi mburu yi ak ñaari jën yi, xool ci kaw, sant Yàlla, ba noppi mu damm mburu yi, jox ko taalibe yi, ngir ñu séddale ko mbooloo mi. Ñaari jën yi it mu séddale ko ñépp.
6:42	Noonu ñépp lekk ba suur.
6:43	Te it ñu dajale la desoon ca dammiti mburu ak jën ya, mu nekk fukki pañe ak ñaar yu fees.
6:44	Ñu lekkoon nag matoon na limu juróomi junniy góor.
6:45	Ci kaw loolu Yeesu sant ay taalibeem, ñu dugg ci gaal gi, jàll ba Betsayda, bi muy yiwi mbooloo mi.
6:46	Bi mu tàggtoo ak mbooloo mi, mu yéeg ca tund wa, ñaan fa Yàlla.
6:47	Noonu guddi jot, fekk gaal gi nekk ci diggu dex gi, te Yeesu rekk moo nekk ca tefes ga.
6:48	Booba mu gis taalibe yi sonn lool ci joow gaal gi ndax li leen ngelaw li soflu. Ca njël nag mu jëm ci ñoom, di dox ci kaw dex gi, ba xaw leen a raw.
6:49	Bi ñu ko gisee nag, muy dox ci kaw dex gi, ñu foog ne njuuma la, daldi yuuxu.
6:50	Ndaxte ñépp gis ko te jommi ci. Waaye mu wax ak ñoom ci saa si ne leen: «Takkleen seen fit, man la, buleen tiit!»
6:51	Noonu mu fekksi leen ci gaal gi, ngelaw daldi ne tekk.
6:52	Njàqarey taalibe ya nag weesu dayo, ndaxte seen xol dafa fatt, ba réere mbir kéemaan, gi Yeesu defoon ci mburu yi.
6:53	Bi nga xamee ne jàll nañu, ba egg diiwaanu Senesaret, ñu teer fa,
6:54	génn ca gaal ga. Ci saa si nit ñi xàmmi ko,
6:55	ñu daldi daw ca diiwaan ba bépp, te fépp fu ñu ko dégg ñu di ko indil ñu wopp, tëdd ci seeni lal.
6:56	Te fu mu man a aw, ci dëkk yu mag mbaa yu ndaw walla ci àll bi, ñu indil ko jarag yi ci pénc yi, ñaan ko, mu may leen ñu laal cati mbubbam rekk. Te képp ku ko laal daldi wér.
7:1	Amoon na bés nag, ay Farisen ak ay xutbakat yu jóge Yerusalem ñëw ci Yeesu.
7:2	Ñu gis yenn ciy taalibeem di lekk, fekk seeni loxo setul, maanaam raxasuwuñu woon, ni ko aada santaanee.
7:3	Farisen yi nag ñoom ak Yawut yi yépp dañuy topp aaday yoon, yi maam yi tëral, te fandee leen gënal lekk ak loxo yu ñu raxasul.
7:4	Te it bu ñu jógee pénc ma, su ñu sanguwul set, duñu lekk. Am nañu it yeneen aada yu bare, maanaam ni nga war a raxase ay kaas, ay njaq ak ay satala, ba ñu laab.
7:5	Noonu Farisen ya ak xutbakat ya laaj ko ne: «Lu tax say taalibe duñu topp aaday yoon, yi maam yi tëral, waaye ñuy lekk ak loxo yu setul?»
7:6	Yeesu tontu leen: «Esayi waxoon na bu baax ci kàddug Yàlla ci seen mbir, yéen naaféq yi, bi mu bindee:“Xeet wii, ñu ngi may teral ci seen gémmiñ,waaye seen xol sore na ma.
7:7	Seen màggal amul benn njariñ,ci li ñuy jàngale dénkaaney nit kese.”»
7:8	Yeesu neeti leen: «Dëddu ngeen ndigali Yàlla, jublu ci aaday nit.»
7:9	Mu teg ca ne leen: «Xelu ngeen ci tebbi ndigali Yàlla, ngir sàmm seen aada.
7:10	Ndaxte Musaa nee na: “Teralal sa ndey ak sa baay,” teg ca ne: “Ku móolu sa yaay walla sa baay, dees na la rey.”
7:11	Waaye yéen dangeen ne, ku ne sa yaay walla sa baay: “Li nga war a jariñoo ci man Korban la,” maanaam “jébbal naa ko Yàlla,”
7:12	dootuleen ko bàyyi, mu defal dara ndeyam walla baayam.
7:13	Noonu tebbi ngeen kàddug Yàlla ndax seen aada, ji ngeen di donnante. Te it yéena ngi def yeneen yu bon yu mel nii.»
7:14	Noonu Yeesu waxaat ak mbooloo mi ne leen: «Yéen ñépp dégluleen ma te xam.
7:15	Li ci biti, tey dugg nit, du ko man a indil sobe, waaye li génn ci nit, loolu mooy indil nit sobe.»
7:17	Bi nga xamee ne jóge nañu ci mbooloo mi, dugg ci kër gi, taalibe yi laaj Yeesu, mu firil leen wax ju làqu jooju.
7:18	Yeesu tontu leen ne: «Ndax yéen itam seen xol dafa tëju? Xanaa xamuleen ne, dara lu jóge biti, dugg ci nit, du ko man a indil sobe,
7:19	ndaxte du dugg ci xol, waaye ci biiram lay jëm, ba noppi daldi génn ca bérab bu làqu?» Ci li mu wax loolu Yeesu daganal na bépp ñam.
7:20	Yeesu ne leen ati: «Li génn ci nit, loolu mooy indil nit sobe.
7:21	Ndaxte ci biir, ci xolu nit, la xalaat yu bon di jóge ak ndoxaanu yàqute, càcc ak bóom,
7:22	njaaloo ak bëgge, coxor, naaféq, ñaawteef, ñeetaan, saaga, réylu ak jëfi ndof.
7:23	Lu bon loolu lépp day génn ci nit, di ko indil sobe.»
7:24	Gannaaw loolu Yeesu jóge fa, jëm weti dëkku Tir. Bi mu fa eggee, mu dugg ci kër, te bëggul kenn xam ko, waaye jataayam mënul a umpe.
7:25	Amoon na fa nag jigéen ju rab jàpp doomam ju jigéen. Bi mu déggee ne, Yeesoo nga fa, mu ñëw, daanu ciy tànkam,
7:26	fekk jigéen ja ci xeetu Gereg la bokkoon, juddoo wàlli Fenisi ci diiwaanu Siri. Noonu jigéen ja ñaan ko, mu dàq rab wi ci doomam.
7:27	Waaye Yeesu ne ko: «Na gune yi jëkk a lekk, ba regg; fab ñamu gune yi, sànni ko xaj yi, rafetul.»
7:28	Jigéen ji tontu ko: «Waaw sang bi, teewul xaj yi di lekk ruusit, yi rot ci lekkukaayu gune yi.»
7:29	Ci kaw loolu Yeesu ne ko: «Ndax wax jooju demal ci jàmm, rab wa génn na sa doom.»
7:30	Noonu mu ñibbi, fekk doom ji tëdd cib lal te mucc ci rab wi.
7:31	Bi loolu amee Yeesu jóge na weti Tir, jaar ci wàlli dëkku Sidon, dem dexu Galile, ba noppi dugg ci biir diiwaan, bi ñuy wax Fukki dëkk yi.
7:32	Foofa ñu indil ko ku tëx te dër lool, ñaan ko mu teg ko loxo.
7:33	Noonu Yeesu yóbbu ko, ba ñu sore mbooloo mi, mu def ay baaraamam ciy noppam, daldi tifli, laal làmmiñam.
7:34	Mu yërëm ko, ba binni ci xolam, xool ci asamaan, daldi ne: «Effata,» liy tekki: «Ubbikuleen.»
7:35	Ci saa si ay noppam daldi dégg te làmmiñam yiwiku, muy wax bu leer.
7:36	Bi mu ko defee Yeesu tere leen, ñu wax ko kenn, waaye lu mu leen ko gën a tere, ñu gën ko nee siiwale.
7:37	Ñu waaru lool naan: «Lépp lu mu def, lu yéeme la. May na sax tëx yi ñuy dégg, ak luu yi ñuy wax.»
8:1	Ca bés yooya mbooloo mu réy amaatoon na, te amuñu woon lu ñu lekk. Noonu Yeesu woo taalibe ya ne leen:
8:2	«Yërëm naa mbooloo mi, ndaxte toog nañu fi man ñetti fan, te amatuñu lu ñu lekk.
8:3	Su ma leen yiwee ak seen xiif, dinañu tële ci yoon wi, ndaxte am na ñu jóge fu sore.»
8:4	Taalibe yi tontu ko: «Waaye fii àllub neen la; fu nuy jële lu doy ngir dundal leen?»
8:5	Yeesu laaj leen: «Ñaata mburu ngeen am?» Ñu ne ko: «Juróom-ñaar.»
8:6	Noonu Yeesu sant mbooloo mi, ñu toog ci suuf. Mu jël juróom-ñaari mburu yi, sant Yàlla, damm leen, jox leen taalibe yi, ngir ñu séddale leen mbooloo mi; taalibe yi def ko.
8:7	Amoon na fa it tuuti jën yu ndaw. Yeesu jël ko, sant Yàlla, wax taalibe yi, ñu séddale leen itam mbooloo mi.
8:8	Noonu nit ñi lekk ba suur, ba noppi taalibe yi dajale juróom-ñaari dàmba yu fees ak dammit yi ci des.
8:9	Ña ko fekke nag matoon nañu ñeenti junniy góor.
8:10	Bi ko Yeesu defee, mu yiwi leen, daldi dugg ak taalibe ya ca gaal ga, dem ca wàlli Dalmanuta.
8:11	Noonu Farisen yi ñëw, di werante ak moom; ñu fexe koo fiir, ba laaj ko kéemaan gu jóge ci asamaan tey firndeel yónnentam.
8:12	Waaye Yeesu binni ci xolam ne leen: «Lu tax niti jamono jii di laaj kéemaan? Ci dëgg maa ngi leen koy wax, duñu jot genn kéemaan.»
8:13	Ci kaw loolu Yeesu bàyyi leen, duggaat ci gaal gi, di jàll dex gi.
8:14	Taalibe yi nag fàtte woon nañu yóbbaale mburu, te amuñu woon lu dul benn mburu ci gaal gi.
8:15	Noonu Yeesu artu leen ne: «Wottuleen te moytu lawiiru Farisen yi ak ñi far ak buur bi Erodd.»
8:16	Taalibe yi nag daldi werante naan: «Nun de indaalewunu mburu.»
8:17	Waaye Yeesu yég loolu ne leen: «Lu tax ngeen di werante ci li ngeen indaalewul mburu? Xanaa gisaguleen te xamuleen? Ndax seen xol dafa fatt ba tey?
8:18	Ndax ay gumbay njàccaar ngeen, te seeni nopp naqari? Xanaa fàttalikuwuleen;
8:19	bi ma dammee juróomi mburu ya ngir juróomi junni ña, ñaata pañe yu fees ak ay dammit ngeen ca dajale woon?» Ñu tontu ko: «Fukk ak ñaar.»
8:20	Yeesu neeti leen: «Te bés bi ma dammee juróom-ñaari mburu yi ngir ñeenti junni ñi, ñaata dàmba yu fees ak dammit ngeen dajale woon?» Ñu ne ko: «Juróom ñaar.»
8:21	Noonu Yeesu ne leen: «Ndax seen xol dafa tëju ba tey?»
8:22	Gannaaw loolu ñu ñëw ci Betsayda. Foofa ñu indil Yeesu ku gumba, di ko ñaan, mu laal ko.
8:23	Yeesu nag jàpp loxob gumba gi, yóbbu ko, ba génn dëkk bi. Mu def tiflit ciy bëtam, teg ko loxo naan: «Ndax gis nga dara?»
8:24	Waa ji xool ne ko: «Gis naa ay nit, ñu mel ni ay garab, te ñu ngi dox.»
8:25	Kon Yeesu laalaat bët yi, gumba gi ne xefeet, daldi wér, ba gis lépp bu leer.
8:26	Ci kaw loolu Yeesu sant ko mu ñibbi ne ko: «Bul dugg ca dëkk ba.»
8:27	Bi loolu amee Yeesu ànd ak ay taalibeem, dem ca dëkk, yi wër Sesare bu Filib. Bi ñuy dem nag, mu laaj taalibe yi: «Nit ñi, lu ñu wax ne man moom laa?»
8:28	Ñu ne ko: «Am na ñuy ne, yaa di Yaxya; ñeneen ne, Iliyas; ñi ci des ne, yaay kenn ci yonent yi.»
8:29	Noonu Yeesu laaj leen: «Yéen nag, ku ngeen wax ne moom laa?» Piyeer tontu ko: «Yaa di Almasi bi.»
8:30	Ci kaw loolu Yeesu dénk leen bu wóor, ñu bañ koo wax kenn.
8:31	Booba Yeesu tàmbali na leen a xamal ne, Doomu nit ki war na sonn lu bare; njiit ya, saraxalekat yu mag ya ak xutbakat ya dëddu ko, ñu rey ko, mu dekki ci ñetti fan.
8:32	Noonu mu xamal leen mbir mi, ba mu leer nàññ. Bi ko Piyeer déggee, mu woo ko ci pegg, daldi ko yedd.
8:33	Waaye Yeesu geestu, gis yeneen taalibe yi, mu daldi yedd Piyeer ne ko: «Sore ma Seytaane; yëfi nit ngay fonk, waaye du yëfi Yàlla.»
8:34	Noonu Yeesu woo taalibe yi ak mbooloo mi ne leen: «Ku bëgg a topp ci samay tànk, na bàyyi boppam te gàddu bant bi ñu ko war a daaj, door a topp ci man.
8:35	Ndaxte koo xam ne bëgg ngaa rawale sa bakkan, dinga ko ñàkk, waaye ku ñàkk sa bakkan ngir man ak ngir xebaar bu baax bi, dinga ko jotaat.
8:36	Ndaxte moom àddina sépp, lu muy jariñ nit, bu ñàkkee bakkanam?
8:37	Te nit, lu mu war a weccee bakkanam?
8:38	Ku ma rus a faral, te nanguwul samay wax ci kanamu niti jamono jii, ñi fecci seen kóllëre ak Yàlla te topp bàkkaar, Doomu nit ki dina la rus a xam, bés bu ñëwee ci ndamu Baayam, ànd ak malaaka yu sell yi.»
9:1	Mu ne leen ati: «Ci dëgg maa ngi leen koy wax, am na ñi fi taxaw, ñoo xam ne duñu dee, te gisuñu nguuru Yàlla ñëw ak doole.»
9:2	Juróom-benni fan gannaaw gi, Yeesu àndoon na ak Piyeer, Saag ak Yowaana, mu yóbbu leen ñoom rekk fu wéet ci tund wu kawe lool. Foofa jëmmam soppiku ci seen kanam;
9:3	ay yéreem di ray-rayi, weex tàll, te fóotukatu àddina mënu leen weexale nii.
9:4	Noonu ñu gis yonenti Yàlla Iliyas ak Musaa, di wax ak Yeesu.
9:5	Piyeer daldi ne Yeesu: «Kilifa gi, bég nanu ci sunu teew fii; nanu defar ñetti mbaar, benn yaw, benn Musaa ak benn Iliyas.»
9:6	Fekk xamul lu muy wax, ndaxte tiitaange jàpp na leen ñoom ñett ñépp.
9:7	Noonu niir muur leen, te baat jibe ca niir wa naan: «Kii mooy sama Doom ji ma bëgg, ci moom laa ame bànneex; dégluleen ko.»
9:8	Ci saa si taalibe yi xool, waaye gisatuñu kenn, ku dul Yeesu rekk.
9:9	Bi loolu amee ñu wàcc ca tund wa. Bi muy wàcc nag, Yeesu sant leen ne: «Buleen nettali kenn li ngeen gis, ba kera Doomu nit ki dekki na.»
9:10	Ñu téye wax jooju ci seen biir, di sotteente xel, ba xam lu ndekkite looluy tekki.
9:11	Noonu taalibe yi laaj Yeesu: «Lu tax xutbakat yi di naan, Iliyas moo war a jëkk a ñëw?»
9:12	Yeesu ne leen: «Waaw, Iliyas dina jëkk a ñëw, jubbanti lépp. Waaye itam lu tax bind nañu ne, Doomu nit ki war na sonn lu bare, ñu xeeb ko, dëddu ko.
9:13	Waaye maa ngi leen di wax ne, Iliyas ñëw na, te def nañu ko la leen neex, ni ko Mbind mi waxe.»
9:14	Bi nga xamee ne Yeesu ñëw na, ba jege taalibe yi, mu gis mbooloo mu bare wër leen, te ay xutbakat di werante ak ñoom.
9:15	Naka la mbooloo mi gis Yeesu, ñu waaru, daldi daw nuyu ko.
9:16	Noonu Yeesu laaj leen: «Ci lan ngeen di werante ak ñoom?»
9:17	Kenn ci mbooloo mi tontu ko ne: «Kilifa gi, rab jàpp na sama doom, ba luuloo ko. Saa su ko jàppee, daf koy daaneel ci suuf, gémmiñ gi di fuur, muy yéyu, ne jàdd. Ñaan naa say taalibe, ñu dàq ko, waaye mënuñu ko.»
9:19	Yeesu ne leen: «Yéen niti jamono jii, yéen ñi gëmadi, ba kañ laa war a nekk ak yéen, ba kañ laa leen war a muñal? Indil-leen ma xale bi.»
9:20	Ñu indil ko ko. Bi xale bi gisee Yeesu nag, rab wi sayloo ko ci saa si, mu daanu ci suuf, di xalangu, gémmiñ giy fuur.
9:21	Yeesu laaj baay bi: «Lii kañ la ko dal?» Baay bi ne ko: «Li dale ci nguneem.
9:22	Léeg-léeg rab wi bëmëx ko ci safara, léeg-léeg mu bëmëx ko ci ndox, ngir rey ko. Soo ko manee, yërëm nu te xettali nu.»
9:23	Yeesu tontu ko: «Nga ne: “Soo ko manee,” ku gëm man na lépp.»
9:24	Ci saa si baayu xale bi wax ci kaw naan: «Gëm naa, dàqal ma sama ngëmadi.»
9:25	Yeesu gis nag ne, mbooloo maa ngi daw, wërsi ko, mu daldi gëdd rab wi nag ne ko: «Génnal ci moom, yaw rab wu luu te tëx, te bu ko jàppaat; wax naa la ko.»
9:26	Noonu rab wa daldi yuuxu, sayloo xale bi, génn. Xale bi ne nemm, mel ni ku dee, ba tax ñu bare ne: «Dee na.»
9:27	Waaye Yeesu jàpp loxoom, jógloo ko, xale bi daldi taxaw.
9:28	Bi Yeesu duggee ci kër gi, taalibe yi laaj ko ci pegg: «Lu tax mënunu ko woon a dàq?»
9:29	Yeesu tontu leen ne: «Yu mel ni yii, ñaan ci Yàlla rekk a leen di dàq.»
9:30	Bi loolu amee ñu jóge fa, jaar ci diiwaanu Galile, Yeesu bëggul kenn yég ko.
9:31	Ndaxte muy jàngal taalibe yi ne leen: «Dees na jébbal Doomu nit ki ci loxoy nit, te dinañu ko rey, mu dekki ci ñetti fan.»
9:32	Waaye taalibe yi xamuñu lu wax joojuy tekki, te ñemewuñu ko koo laaj.
9:33	Bi nga xamee ne egg nañu dëkku Kapernawum, te dugg ci kër gi, Yeesu laaj leen ne: «Lu ngeen doon waxtaane ci yoon wi?»
9:34	Waaye ñu ne cell, ndaxte ñu ngi fa doon werante, ba xam ku gën a màgg ci ñoom.
9:35	Noonu Yeesu toog, woo fukki taalibe ya ak ñaar ne leen: «Ku bëgg a jiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»
9:36	Bi ko Yeesu waxee, mu jël xale, indi ko ci biir géew gi, ba noppi leewu ko naan:
9:37	«Ku nangu xale bu mel ni bii ci sama tur, man mii nga nangu; te ku ma nangu, du man mii sax nga nangu waaye ki ma yónni.»
9:38	Bi loolu amee Yowaana ne ko: «Kilifa gi, danoo gis nit kuy dàq ay rab ci sa tur, nu tere ko ko, ndax li mu bokkul ci nun.»
9:39	Waaye Yeesu tontu ko: «Buleen ko tere, ndaxte kenn mënul a def kéemaan ci sama tur, ba noppi di ma xarab.
9:40	Ku nu sotul, far na ak nun.
9:41	Ci dëgg maa ngi leen koy wax, koo xam ne kii may na leen kaasu ndox rekk, ndax yéena ngi bokk ci man Kirist, kooku du ñàkk yoolam mukk.
9:42	«Waaye ku yóbbe bàkkaar kenn ci ñi gën a tuuti ñi ma gëm, li gën ci moom, moo di ñu takk doj wu réy ci baatam, sànni ko ci géej.
9:43	Boo xamee ne sa loxo mu ngi lay yóbbe bàkkaar, dagg ko. Ndaxte ñàkk loxo te tàbbi ci dund gu wóor gi, moo gën ci yaw, nga am ñaari loxo te tàbbi ci safara su dul fey mukk.
9:45	Te bu la sa tànk di yóbbe bàkkaar, dagg ko. Nga lafañ te tàbbi ci dund gu wóor gi moo gën, nga am ñaari tànk, ñu sànni la ci safara.
9:47	Te bu la sa bët di yóbbe bàkkaar, luqi ko. Nga patt te dugg ci nguuru Yàlla, moo gën ci yaw, nga am ñaari bët, ñu sànni la ci safara.
9:48	Foofa:“Sax ya duñu dee mukk,te safara sa du fey.”
9:49	Ñépp safara lañu leen di xorome.
9:50	Xorom lu baax la, waaye bu sàppee, nan lañu koy delloo cafkaam? Amleen xorom te ngeen jàmmoo.»
10:1	Gannaaw loolu Yeesu jóge fa, dem ca wàlli réewu Yawut yi, ya ca gannaaw dexu Yurdan. Bi mu fa demee, mbooloo mu bare ñëw fi moom. Yeesu daldi leen jàngal, ni mu ko daan defe.
10:2	Noonu ay Farisen ñëw ci moom, lalal ko fiir, ñu laaj ko: «Ndax jaadu na, nit fase jabaram?»
10:3	Yeesu tontu leen ne: «Lu leen yoonu Musaa sant?»
10:4	Ñu ne ko: «Musaa maye na, nit bind kayitu pase, tàggook jabaram.»
10:5	Waaye Yeesu ne leen: «Dénkaane boobu mu leen bindal, bind na ko ndax seen xol dafa fatt.
10:6	Waaye ca njàlbéen ga “Yàlla sàkk na leen, kii góor, kii jigéen.
10:7	Moo tax góor dina beru ndeyam ak baayam, di taq ci jabaram,
10:8	ñoom ñaar doon benn.” Kon nekkatuñu ñaar waaye benn.
10:9	Lu Yàlla takk nag, bu ko nit tas.»
10:10	Bi ñu delloo ca kër ga nag, taalibe ya laaj ko ci mbirum loolu.
10:11	Noonu Yeesu ne leen: «Ku fase sa jabar, takk jeneen, njaaloo nga, di tooñ ku jëkk ka.
10:12	Te jigéen ji tas, séyaat ak keneen, njaaloo nga.»
10:13	Bi loolu wéyee ñu indil Yeesu ay xale, ngir mu teg leen ay loxoom. Waaye taalibe ya gëdd nit ñi.
10:14	Bi ko Yeesu gisee nag, mu metti ko lool, mu ne leen: «Bàyyileen xale yi, ñu ñëw fi man! Buleen leen tere, ndaxte ñu mel ni ñoom ñoo yelloo nguuru Yàlla.
10:15	Ci dëgg maa ngi leen koy wax, ku woyoful ni xale, nangu nguuru Yàlla, doo ci man a dugg.»
10:16	Noonu Yeesu leewu leen, teg leen ay loxoom, barkeel leen.
10:17	Gannaaw loolu bi Yeesu nekkee ci kaw yoon wi di dem, am ku daw, sukk ci kanamam ne ko: «Kilifa gu baax gi, lu ma war a def, ngir am wàll ci dund gu dul jeex gi?»
10:18	Yeesu tontu ko: «Lu tax nga wooye ma ku baax ki? Yàlla rekk a baax.
10:19	Xam nga ndigal yi: “Bul bóom, bul njaaloo, bul sàcc, bul seede lu dul dëgg, bul nangu alalu jaambur, teralal sa ndey ak sa baay.”»
10:20	Waa ji ne ko: «Kilifa gi, loolu lépp sàmm naa ko li dale ci samag ndaw ba tey.»
10:21	Noonu Yeesu xool ko, am cofeel ci moom, mu ne ko: «Lenn rekk moo la dese. Demal jaay li nga am, may ko miskin yi, te dinga woomle ci asamaan; boo noppee, nga ñëw topp ci man.»
10:22	Waaye ci wax jooju xar-kanamam lëndëm, mu jóge fa ak tiis, ndaxte ku bare woon alal la.
10:23	Noonu Yeesu xool taalibe yi ko wër ne leen: «Boroom alal dugg ci nguuru Yàlla, lu jafee ngoogu!»
10:24	Wax jooju nag daldi jaaxal taalibe yi lool. Waaye Yeesu neeti leen: «Samay xarit, dugg ci nguuru Yàlla, lu jafee ngoogu!
10:25	Giléem jaar ci bën-bënu pusa, moo gën a yomb boroom alal dugg ci nguuru Yàlla.»
10:26	Wax jooju gënatee jaaxal taalibe ya, ñu naan ci seen biir: «Kon nag ku man a mucc?»
10:27	Noonu Yeesu xool leen naan: «Loolu të na nit, waaye tëwul Yàlla; Yàlla man na lépp.»
10:28	Ci kaw loolu Piyeer daldi ko ne: «Nun de dëddu nanu lépp te topp la!»
10:29	Yeesu tontu ko: «Ci dëgg maa ngi leen koy wax, képp ku dëddu kër, doomu ndey yu góor walla yu jigéen, ndey walla baay, doom walla suuf ndax man ak xebaar bu baax bi,
10:30	dinga am tey jii téeméeri yoon ay kër, doomi ndey yu góor ak yu jigéen, ndey, doom ak suuf, ñoom ak ay fitnay noon, te ëllëg nga am dund gu dul jeex.
10:31	Waaye ñu bare ci ñi jiitu ñooy mujji; ñi mujj ñooy jiituji.»
10:32	Gannaaw loolu ñu ànd jëm Yerusalem, Yeesu jiitu; taalibe yi am njàqare, te ñi ci topp tiit. Noonu Yeesu woowaat fukk ak ñaar ña cig wet, xamal leen li nar a xew ci mbiram.
10:33	Mu ne leen: «Noo ngi dem Yerusalem, te dees na jébbal Doomu nit ki ci loxoy saraxalekat yu mag ya ak xutbakat ya. Dinañu ko àtte, teg ko dee, jébbal ko ñi dul Yawut,
10:34	ñu ñaawal ko, di tifli ci kawam, dóor ko ay yar, rey ko. Waaye gannaaw ñetti fan dina dekki.»
10:35	Gannaaw loolu Saag ak Yowaana, doomi Sebede, ñëw ci Yeesu. Ñu ne ko: «Kilifa gi, danoo bëggoon nga may nu li nu lay ñaan.»
10:36	Yeesu tontu leen: «Lu ngeen bëggoon, ma may leen ko?»
10:37	Ñu ne ko: «Bés boo soloo sa ndam, nga may nu, nu toog, kii ci sa ndeyjoor, kii ci sa càmmooñ.»
10:38	Waaye Yeesu tontu leen: «Xamuleen li ngeen di ñaan. Ndax man ngeen a naan kaasu naqar, bi may naan? Ndax man ngeen a sóobu ci metit, yi ma nar a sóobu?»
10:39	Ñu ne ko: «Waaw, man nanu ko.» Noonu Yeesu ne leen: «Dingeen naan kaasu naqar, bi may naan, tey sóobu ci metit, yi ma nar a sóobu,
10:40	waaye toog ci sama ndeyjoor mbaa sama càmmooñ, du man maa koy maye. Ñi ñu ko waajal rekk a ko yelloo.»
10:41	Bi nga xamee ne fukki taalibe ya ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.
10:42	Waaye Yeesu woo leen naan: «Xam ngeen ne ci xeeti àddina, ñi ñu teg njiit dañu leen di dóor yetu nguur, te kilifa yi di leen noot.
10:43	Buleen mel ni ñooñu. Waaye ku bëgg a nekk kilifa ci yéen, na nekk seen surga,
10:44	te ku bëgg a nekk njiit, na nekk seen jaam.
10:45	Ndaxte noonu la Doomu nit ki ñëwe sax, du ngir ñu nekk ay surgaam, waaye ngir muy seen surga, ba joxe bakkanam ngir njotug ñu bare.»
10:46	Bi loolu wéyee ñu agsi ca dëkku Yeriko. Bi ko Yeesu di génn, ànd ak taalibe ya ak mbooloo mu xaw a bare, am gumba gu tudd Bartime — liy tekki «doomu Time,» toog ci wetu yoon wi, di yelwaan.
10:47	Noonu mu dégg ne, Yeesum Nasaret moo fay romb; mu daldi yuuxu naan: «Yërëm ma, yaw Sëtu Daawuda bi!»
10:48	Ci kaw loolu ñu bare gëdd ko, ngir mu noppi. Teewul mu gën a yuuxu naan: «Yaw Sëtu Daawuda bi, yërëm ma!»
10:49	Noonu Yeesu taxaw, daldi ne: «Wooleen ko!» Ñu woo nag gumba gi ne ko: «Na sa xel dal! Jógal! Mu ngi lay woo.»
10:50	Bi mu ko déggee, mu sànni malaanam, ne bërét, dem ci Yeesu.
10:51	Yeesu ne ko: «Loo bëggoon ma defal la ko?» Gumba gi tontu ko: «Kilifa gi, damaa bëgg a gis.»
10:52	Noonu Yeesu ne ko: «Demal ci jàmm. Sa ngëm faj na la.» Ci saa si gumba gi gis, daldi topp Yeesu ci yoon wi.
11:1	Gannaaw loolu Yeesu ak taalibe ya jege nañu Yerusalem, ba agsi dëkki Betfase ak Betani ci wetu tundu Oliw ya. Noonu Yeesu yebal ñaar ciy taalibeem,
11:2	ne leen: «Demleen ci dëkk bi ci kanam. Bu ngeen fa duggee, dingeen fa gis cumbur gu kenn musul a war. Yiwileen ko, indi.
11:3	Bu leen kenn nee: “Lu ngeen di def?” tontuleen ko: “Boroom bi da koo soxla, te léegi mu delloosi ko.”»
11:4	Taalibe ya dem nag, ñu gis cumbur ga ci mbedd mi, mu yeewe cib buntu kër.
11:5	Bi ñu koy yiwi nag, am na ca ña fa taxaw, ñu ne leen: «Lu ngeen nar, bay yiwi cumbur gi?»
11:6	Taalibe yi tontu leen, ni leen Yeesu digale woon, kon nit ñi bàyyi leen, ñu dem.
11:7	Ñu indi cumbur gi Yeesu nag, lal ci seeni yére, mu toog ci.
11:8	Ñu bare lal seeni yére ci yoon wi, ñenn ñi dagg ay cari garab ci tool yi, lal leen it ci yoon wi.
11:9	Ñiy jiitu ak ñiy topp ci Yeesu ñépp di wax ci kaw naan:«Osaana!Yaw miy ñëw ci turu Boroom bi,ku barkeel nga!
11:10	Nguuru sunu maam Daawuda giy ñëw,dina barkeel!Ci bérab yu gën a kawe,nañu ne: “Osaana!”»
11:11	Noonu Yeesu dugg Yerusalem, dem kër Yàlla ga, xool lépp, ba noppi génn dem dëkku Betani, moom ak fukki taalibe ya ak ñaar, ndaxte dafa guddi.
11:12	Bët set ñu génn Betani, fekk Yeesu xiif.
