1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
7:4	«Ci kaw loolu mu génn réewu niti Kalde, dëkksi Karan. Te bi baayam faatoo, Yàlla toxale ko foofa, dëël ko ci réew, mi ngeen dëkk léegi.
7:5	Waaye mayu ko fa genn moomeel gu mu war a donnale, du sax fu mu man a teg tànkam; waaye dig na ko ne, dina ko may réew mi, mu yilif ko moom ak askanam, fekk booba amagul doom.
7:6	Yàlla ne ko: “Ñi soqikoo ci yaw dinañu ganeyaan ci réew mu ñu dëkkul; dees na leen def ay jaam, di leen fitnaal diirub ñeenti téeméeri at.”
7:7	Waaye Yàlla nee na: “Xeet wi leen jaamloo, man maa leen di àtte te gannaaw loolu dinañu génn, di ma jaamu ci bérab bii.”
7:8	Yàlla nag tëral kóllëre seen diggante, fas ko ci màndargam xaraf. Noonu Ibraayma jur Isaaxa, xarafal ko ca juróom-ñetteelu fan ba; Isaaxa def noonu Yanqóoba, Yanqóoba it def noonu fukki maam ya ak ñaar, ñi sos xeet wi.
7:9	«Naka maam yooyu, dañoo iñaane Yuusufa, ba jaay ko, mu jëm réewu Misra. Waaye Yàlla taxawu ko,
7:10	génne ko ci coonoom yépp, defal ko yiw ak xel ci kanamu Firawna, buuru Misra, mu def ko kilifag Misra ak këram gépp.
7:11	«Bi loolu amee xiif tàbbi ci biir Misra ak réewu Kanaan mépp, ba toskare ja metti lool, te sunuy maam amatuñu lu ñu lekk.
7:12	Yanqóoba nag dégg ne, Misra am na dugub, mu yebal ca sunuy maam, ñu dem fa yoon wu jëkk.
7:13	Bi fa ay doomi baayam delloo nag, Yuusufa xàmmiku leen, te Firawna xamante ak njabootam.
7:14	Ci kaw loolu Yuusufa yeble, woo baayam ak mbokkam yépp, ñuy juróom-ñaar-fukki nit ak juróom.
7:15	Noonu Yanqóoba dem Misra, faatu fa, moom ak sunuy maam.
7:16	Gannaaw loolu ñu yóbbu seeni néew Sikem, dugal leen ca bàmmeel, ba Ibraayma jëndoon ak xaalis ca doomi Emor ca Sikem.
7:17	«Bi loolu wéyee jamono ji jege woon na, ngir Yàlla amal li mu digoon Ibraayma ci ngiñ; fekk xeet wa di law tey gën a bare ci Misra,
7:18	ba keroog beneen buur bu xamul Yuusufa di falu ci Misra.
7:19	Buur boobu nag dafa daan nax sunu xeet, di fitnaal sunuy maam, ba di leen sànniloo seeni doom, ngir ñu dee.
7:20	«Booba nag la Musaa juddu, di ku rafet ci kanam Yàlla; ñu yor ko ñetti weer ci biir kër baayam,
7:21	ba noppi sànni ko. Noonu doom ju jigéen ju Firawna for ko, yar ko ni doomam.
7:22	Musaa nag di ku yeewu ci xam-xamu waa Misra bépp, di jàmbaar ci wax ak jëf.
7:23	«Bi mu demee ba am ñeent-fukki at, mu fas yéeney seeti ay bokkam, maanaam bànni Israyil.
7:24	Noonu mu gis ca ku ñuy néewal doole, mu sotle ko, feyyul ko, ba dóor waayi Misra ja.
7:25	Mu defe ne, ay bokkam dinañu xam ne, ciy loxoom la leen Yàllay musale, waaye xamuñu ko.
7:26	Ca ëllëg sa mu juux ci ay Yawut yuy xeex, mu di leen jéem a jubale ne leen: “Yéen ay bokk ngeen, lu tax ngeen di xeex?”
7:27	Waaye kiy néewal doole moroomam bëmëx ko ne: “Ku la teg kilifa ak àttekat ci sunu kaw?
7:28	Ndax danga maa bëgg a rey, ni nga defoon démb waayi Misra ja?”
7:29	Bi Musaa déggee wax jooju, mu daldi daw, dem réewu Majan, di fa ab doxandéem; mu séy fa, ba am ñaari doom.
7:30	«Lu ko wees ñeent-fukki at nag, bi mu nekkee ca màndiŋu tundu Sinayi, malaaka feeñu ko ci takk-takku safara ci biir as ngarab.
7:31	Bi ko Musaa gisee, mu daldi waaru ci li mu gis; mu jegesi ngir niir ko, dégg baatu Boroom bi ne ko:
7:32	“Man maay sa Yàllay maam, di Yàllay Ibraayma, Isaaxa ak Yanqóoba.” Ci kaw loolu Musaa tiit bay lox, te ñemeetul a xool.
7:33	Noonu Boroom bi ne ko: “Summil say dàll, ndaxte bérab bi nga taxaw, bérab bu sell la.
7:34	Gis naa bu baax fitnay sama xeet ci Misra te dégg naa seeni tawat, kon wàcc naa ngir musal leen. Léegi nag ñëwal, dinaa la yebal Misra.”
7:35	«Musaa moomu bañoon nañu ko, ba ne ko: “Ku la teg kilifa ak àttekat?” Waaye moom la Yàlla yebal, jaarale ko ci malaaka mi ko feeñu ca ngarab sa, ngir mu nekk kilifa gu leen di goreel.
7:36	Moo leen génne réewu Misra, di def ay kéemaan ak ay firnde ca réew ma, ca Géej gu xonq ga ak ca màndiŋ ma diirub ñeent-fukki at.
7:37	Musaa moomu moo ne woon bànni Israyil: “Yàlla dina leen feeñalal ci seeni bokk Yonent bu mel ni man.”
7:38	Te moo nekkoon ak mbooloo ma ca màndiŋ ma, ànd ak sunuy maam, wéttalikoo malaaka, mi waxoon ak moom ci tundu Sinayi. Te mu jote ci Yàlla kàddu yiy dund, ngir jottali nu ko.
7:39	Waaye sunuy maam nanguwuñu koo déggal; dañu koo bañ te seeni xel dëpp, dellu Misra.
7:40	Ñu sant Aaroona ne: “Sàkkal nu ay yàlla yuy jiitu ci sunu kanam, ndaxte Musaa male nu génne ci réewu Misra, xamunu lu ko dal.”
7:41	Booba nag ñu tëgglu aw sëllu, muy xërëm, ñu di ko tuuru, di bànneexu ci seeni jëfi loxo.
7:42	Waaye bi ñu ko defee Yàlla dëddu leen, bërgël leen, ñuy jaamu biddiiwi asamaan. Moom lañu bind ci téereb yonent yi ne:“Yéen bànni Israyil, ndax rendi ngeen jur,jébbal ma, boole ko ak i sarax,diirub ñeent-fukki at ca màndiŋ ma?
7:43	Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu Molog ak biddiiwub Refan,bi ñu daan bokkaaleel Yàlla,di ay nataal, yi ngeen defoon ngir màggal leen!Kon nag dinaa leen toxal,yóbbu leen ci gannaaw réewu Babilon.”
7:44	«Sunuy maam amoon nañu ca màndiŋ ma tàntu màggalukaay, bi ëmboon li Yàlla seede. Tànt boobu nag defoon nañu ko, roye ko ci bi Musaa gisoon, ni ko ko Yàlla sante woon.
7:45	Te gannaaw ga, bi Yosuwe nekkee kilifag sunuy maam, ñu jot tànt ba ñoom it, yóbbu ko ca réew, ma ñu nangu ca xeet ya Yàlla dàq ci seen kanam. Tànt ba nekk fa, ba ci jamonoy Daawuda.
7:46	Moom yiw na fa kanam Yàlla, mu ñaan ko, mu sàkkal ko kër ngir askanu Yanqóoba.
7:47	Waaye Suleymaan moo tabaxal Yàlla kër ga.
7:48	«Moona Aji Kawe ji du dëkk ci fu loxol nit defar; moom la ab yonent wax ne:
7:49	“Asamaan mooy sama jal,te suuf mooy sama tegukaayu tànk.Kon gan kër ngeen may tabaxal,mbaa fan mooy sama bérabu noppalukaay?
7:50	Ndax du sama loxo moo defar yëf yooyu yépp?— Moom la Boroom bi doon wax.”
7:51	«Yéen ñi dëgër bopp, ànd ak xol buy bañ ak ay nopp yuy fatt, mel ni ñi xamul Yàlla. Dungeen noppeek a diiroo ak Xel mu Sell mi; ni ko seen baay yi daan defe, noonu ngeen di def yéen itam.
7:52	Kan ca yonent ya la seeni maam tegul woon ay fitna? Rey nañu ñi doon yégle ñëwug Aji Jub ji, moom mi ngeen jébbale léegi, ba ñu rey ko.
7:53	Jot ngeen yoonu Musaa, wi Yàlla wàcce jaarale ko ci ay malaaka, te sàggane ngeen ko.»
7:54	Bi ñu déggee loolu nag, seeni xol di dagg, ñuy yéyu, jëm ci kawam.
7:55	Waaye Ecen, mi fees ak Xel mu Sell mi, ne jàkk ci asamaan, gis ndamu Yàlla, te gis Yeesu mi taxaw ci ndeyjooru Yàlla.
7:56	Mu ne: «Seetleen, maa ngi gis asamaan yi ubbiku, te Doomu nit kaa ngii taxaw ci ndeyjooru Yàlla.»
7:57	Bi ñu déggee loolu, ñu daldi xaacu ca kaw, tey dar seeni nopp; ñu ànd, ne milib ci kawam;
7:58	ñu wat-wate ko, génne ko dëkk ba, dóor ko ay doj, ba mu dee. Seede ya tegoon nañu seeni yére ci tànki waxambaane wu tudd Sool.
7:59	Noonu ñu dóor Ecen ay doj, muy ñaan Yàlla ne: «Boroom bi Yeesu, nangul sama ruu!»
7:60	Bi mu ko waxee, mu sukk, wax ak baat bu kawe: «Boroom bi, bu leen bindal bàkkaar bii,» ba noppi mu nelaw.
8:1	Sool moom ànd na ci ñi doon rey Ecen. Bés booba nag fitna ju metti dal na ci mbooloom ñi gëm, mi nekk Yerusalem, ba ñépp, ñu moy ndaw ya, tasaaroo ci diiwaani Yude ak Samari.
8:2	Ay nit ñu ragal Yàlla fab Ecen, jébbal ko Boroom bi, di ko jooy bu wér.
8:3	Waaye naka Sool, mu ngay tas mbooloom ñi gëm, di tàbbi ca kër ya, tey jàpp góor ak jigéen, di leen tëj kaso.
8:4	Ñi tasaaroo nag dem fu nekk, di fa xamle xebaar bu baax bu kàddug Yàlla.
8:5	Naka Filib mu dem ca benn dëkk ca Samari, di leen yégal Kirist.
8:6	Bi ko mbooloo mi déggee te gis kéemaan yi muy def, ñu bokk benn xalaat, fekki ko ci li mu wax.
8:7	Ndaxte ay rab yu bon bàyyi nañu nit ñu bare, ña ñu jàppoon, di yuuxu ci kaw; te ñu bare ñu làggi ak ñu lafañ daldi wér.
8:8	Noonu mbég mu réy tàbbi ca dëkk ba.
8:9	Amoon na nag nit ku tudd Simoŋ, di luxuskat bu yàgg ca dëkk ba, te daan yéem waa Samari gépp, ci naan: «Aji Màgg laa.»
8:10	Kon ñépp, mag ak ndaw, taq ci moom ne: «Kii mooy jaasiy Aji Kàttan ji.»
8:11	Ñu taq ci moom, ndax li mu leen yàgg a waar ci ay luxus.
8:12	Waaye bi ñu gëmee xebaar bu baax, bi Filib yégle jëm ci nguurug Yàlla ak turu Yeesu Kirist, góor ak jigéen daldi nangu, ñu sóob leen ci ndox.
8:13	Simoŋ sax gëm, ñu sóob ko ci ndox; mu wéy nag ci topp Filib, di waaru ci kéemaan yi ak firnde yu mag yiy am.
8:14	Bi nga xamee ne ndaw yi nekk Yerusalem yég nañu ne, waa Samari nangu nañu kàddug Yàlla; ñu yónni fa Piyeer ak Yowaana.
8:15	Ñu dem fa nag, ñaanal leen, ngir ñu jot Xel mu Sell mi.
8:16	Ndaxte wàccagul ci kenn ci ñoom, waaye sóoboon nañu leen rekk ci ndox ci turu Boroom bi Yeesu.
8:17	Noonu Piyeer ak Yowaana teg leen loxo, ñu jot Xel mu Sell mi.
8:18	Bi Simoŋ gisee nag ne Yàlla may na Xel mi jaarale ko ci loxoy ndaw ya, mu indil leen xaalis,
8:19	ne leen: «Mayleen ma sañ-sañ boobu, ba ku ma teg samay loxo, nga jot Xel mu Sell mi.»
8:20	Waaye Piyeer ne ko: «Asarul ak sa xaalis, yaw mi yaakaar ne, man ngaa jënd mayu Yàlla ak xaalis.
8:21	Amuloo benn wàll mbaa cér ci lii, ndaxte sa xol laabul ci kanam Yàlla.
8:22	Réccul nag sa coxor te ñaan Boroom bi, mu baal la sa xalaatu xol, su manee am.
8:23	Ndaxte gis naa ne, sóobu nga ci lu wex xat ci kanam Yàlla, te bàkkaar noot na la.»
8:24	Simoŋ nag ne leen: «Ñaanal-leen ma ci Boroom bi, ngir mu fegal ma li ngeen wax.»
8:25	Noonu bi ñu seedeelee Yàlla te wax ci kàddoom, ñu dellu Yerusalem, di xamle xebaar bu baax bi ci dëkk yu bare yu waa Samari.
8:26	Naka noonu benn malaakam Boroom bi ne Filib: «Jógal te jublu Misra, jaar ci yoon wi jóge Yerusalem, jëm Gasa, di màndiŋ.»
8:27	Filib jóg dem. Noonu mu gis fa nitu Ecópi ku yoom, di jaraaf ju mag ci Kandas, buur bu jigéen bu Ecópi, te di ko wottul xaalisam bépp. Fekk mu ñëwoon Yerusalem, ngir màggalsi Yàlla, bay dellu;
8:28	mu toog ci watiiram, di jàng téereb yonent Yàlla Esayi.
8:29	Xel mi nag ne Filib: «Dabal watiir wale.»
8:30	Noonu Filib dawsi, mu dégg waayi Ecópi ja, di jàng téereb yonent Yàlla Esayi. Mu laaj ko: «Ndax xam nga li ngay jàng?»
8:31	Mu tontu ko ne: «Nu ma ko man a xame, su ma ko kenn firilul?» Mu woo Filib nag, mu yéeg, toog ak moom.
8:32	Fekk aaya yii la doon jàng ci Mbind mi:«Yóbbu nañu ko ni xar mu ñuy rendiji;ni mburt mu luu ci kanami watkat,mu ne cell.
8:33	Ci toroxteem nangu nañu dëggam;ñi mu tollool jamono, ku ci xalaat lii?Jële nañu bakkanam ci àddina.»
8:34	Jaraaf ja nag ne Filib: «Maa ngi lay laaj, ci mbirum kan la yonent bi jëmale wax ji? Ndax mbirum boppam lay wax mbaa mu keneen?»
8:35	Noonu Filib tàmbali ci aaya yooyu, xamal ko xebaar bu baax bi ci mbirum Yeesu.
8:36	Bi ñuy jaar ci yoon wi, ñu agsi ci ndox. Jaraaf ja ne ko: «Ndox a ngi nii, ana lu tere, nga sóob ma ci?»
8:38	Mu santaane nag, ñu taxawal watiir wa; Filib ak jaraaf ja wàcc ñoom ñaar ci biir ndox ma, mu sóob ko ca.
8:39	Ba noppi ñu génn ca ndox ma, te ca saa sa Xelu Boroom bi fëkk Filib, ba jaraaf ja gisatu ko, waaye mu toppaat yoonam, ànd ak mbég.
8:40	Filib moom teeri dëkku Asot, muy jaar ci dëkk yépp, di fa xamle xebaar bu baax bi, ba kera muy ñëw dëkku Sesare.
9:1	Naka Sool, muy tëkkoo rey taalibey Boroom bi, ba di ko noyyee far. Mu dem nag ca saraxalekat bu mag ba,
9:2	laaj ko ay bataaxal yu muy yóbbul jànguy dëkku Damas. Noonu ñu mu fa fekk, te ñu bokk ci yoon wi, góor mbaa jigéen, mu am dogalu yeew leen, indi leen Yerusalem.
9:3	Waaye bi muy jub Damas, ca saa sa leer gu jóge asamaan melax, ba ëmb ko.
9:4	Mu daanu ci suuf, dégg baat bu ko ne: «Sool, Sool, lu tax nga di ma fitnaal?»
9:5	Mu wuyu ne: «Yaay kan Boroom bi?» Boroom bi ne ko: «Maay Yeesu, mi ngay fitnaal.
9:6	Waaye jógal, dugg ca dëkk ba, te dinañu la wax li nga war a def.»
9:7	Nit ñi ànd ak moom nag taxaw, waaru ba luu, ci li ñu dégg baat bi te gisuñu kenn.
9:8	Noonu Sool jóg, xippi, waaye gisul dara; kon ñu wommat ko, yóbbu ko Damas.
9:9	Diirub ñetti fan gisul dara, lekkul, naanul.
9:10	Amoon na nag ci Damas taalibe bu tudd Anañas. Bi loolu amee nag Boroom bi feeñu ko ne: «Anañas!» Mu wuyu: «Maa ngi nii Boroom bi.»
9:11	Boroom bi ne ko: «Jógal, nga jaar ci mbedd, mi ñuy wax Mbedd mu jub mi, te seet ci kër Yudaa nit ku tudd Sool te dëkk Tars, ndaxte mu ngay ñaan.
9:12	Te gis na cim peeñu nit ku tudd Anañas, mu dugg, teg ko ay loxo, ba muy gisaat.»
9:13	Waaye Anañas tontu ko ne: «Boroom bi, dégg naa ci nit ñu bare ci mbirum kooku, ñu seede lu bare lu bon lu mu def say gaay ci Yerusalem.
9:14	Te indaale na fii sax sañ-sañ bu jóge ci saraxalekat yu mag ya, ngir yeew képp kuy tudd saw tur.»
9:15	Waaye Boroom bi ne ko: «Demal, ndaxte maa ko tànn, muy sama jëfandukaay, ngir yóbbu sama tur fa kanam ñi nekkul Yawut ak fa kanam buur yi ak bànni Israyil.
9:16	Te dinaa ko won coono yu bare yu mu war a dékku ngir sama tur.»
9:17	Ci kaw loolu Anañas dem, dugg ca kër ga, teg ay loxoom Sool. Mu ne ko: «Sool sama mbokk, Boroom bi Yeesu, mi la feeñu woon ci kaw yoon wi, bi ngay dikk, moo ma yónni, ngir nga dellu di gis te fees ak Xel mu Sell mi.»
9:18	Ca saa sa lu mel ni ay waasintoor génne ci ay bëtam, mu daldi gisaat. Noonu mu jóg, ñu sóob ko ci ndox;
9:19	ba noppi mu lekk, amaat doole. Bi mu ko defee mu toog ay fan ak taalibe, ya nekk Damas.
9:20	Ca saa sa muy yégle ca jàngu ya ne, Yeesu mooy Doomu Yàlla.
9:21	Ñi ko dégg ñépp waaru naan: «Ndax du kii moo daan tas ñiy tudd tur woowu ci Yerusalem, te mu ñëw fii, ngir yeew leen, yóbbu ci kanamu saraxalekat yu mag ya?»
9:22	Moona Sool di gën a am kàttan, bay jaaxal Yawut yi dëkk Damas, ci di leen wax ay firnde, ne Yeesu mooy Almasi bi.
9:23	Ba ñu ca tegee ay fani fan, Yawut yi daldi gise, ngir reylu ko.
9:24	Waaye Sool yég seen pexe. Fekk guddi ak bëccëg ñu doon wottu bunt yi yépp, ngir man koo bóom.
9:25	Noonu taalibe yi jël ko ci guddi, def ko ci dàmba gu réy, jaarale ko ci miir bi, yoor ko ci suuf.
9:26	Bi Sool agsee Yerusalem, mu jéem a ànd ak taalibe yi, waaye ñépp ragal ko, ndax gëmuñu woon ag taalibeem.
9:27	Ci kaw loolu Barnabas jël ko, yóbbu ko ca ndaw ya, nettali leen, ni Sool gise Boroom bi ci kaw yoon wi, ak li mu ko wax, rax-ca-dolli fit wi mu doon waxe ci turu Yeesu ci Damas.
9:28	Noonu mu nekk ak ñoom ci Yerusalem, di dugg ak a génn, di wax ak fit ci turu Boroom bi.
9:29	Muy wax ak di werante ak Yawut yiy làkk gereg, waaye ñu di ko wut a rey.
9:30	Bi ko bokk yi yégee nag, ñu yóbbu ko dëkku Sesare, yebal ko dëkku Tars.
9:31	Noonu mbooloom ñi gëm nekk ci jàmm ci biir diiwaani Yude gépp ak Galile ak Samari; ñuy gën a dëgër, di wéy ci ragal Yàlla, tey yokku ci ndimbalu Xel mu Sell mi.
9:32	Piyeer nag di wër, di jaar fu nekk, tey dem ci gaayi Yàlla yi dëkk Lidd,
9:33	mu gis fa nit ku làggi, tudd Ene, tëdd ci basaŋ diirub juróom-ñetti at.
9:34	Piyeer ne ko: «Ene, Yeesu Kirist faj na la; jógal te defar sa lal.» Noonu mu daldi jóg ca saa sa.
9:35	Bi ko waa diiwaani Lidd ak Saron gépp gisee, ñu daldi woññiku ci Boroom bi.
9:36	Amoon na nag ci dëkku Yope taalibe bu jigéen bu tudd Tabita, liy tekki «Dorkas,» maanaam «kewel,» te muy wéy ci jëf yu baax ak saraxe.
9:37	Ca fan yooyu mu daanu wopp, ba faatu; noonu ñu sang ko, teg ko ca néeg, ba sut ca taax ma.
9:38	Gannaaw Lidd sorewul ak Yope nag, te taalibe yi dégg ne, Piyeer a nga fa, ñu yónnee ko ñaari nit, ñaan ko mu ñëw ci ñoom ci saa si.
9:39	Bi ko Piyeer déggee, mu jóg, ànd ak ñoom. Bi mu ñëwee, ñu yóbbu ko ca néeg bu kawe ba. Fekk fa ay jigéen ñi seeni jëkkër faatu, ñu daldi wër Piyeer, ñépp di jooy, di ko won kamisool ya ak mbubb, ya Dorkas daan defar cig dundam.
9:40	Ci kaw loolu Piyeer génne ñépp ci biti, mu sukk, ñaan ci Yàlla, ba noppi walbatiku ca néew ba ne ko: «Tabita, jógal!» Noonu mu xippi, gis Piyeer, daldi toog.
9:41	Piyeer may ko loxo, yékkati ko. Mu woo gaayi Yàlla ya ak jigéen ña, won leen ko, muy dund.
9:42	Mbir ma siiw ca Yope gépp, ba ñu bare gëm Boroom bi.
9:43	Gannaaw loolu Piyeer toog ay fan ci Yope, ci këru ku tudd Simoŋ, miy wullikat.
10:1	Amoon na ci Sesare nit ku tudd Korney, nekk njiitu xare, mu bokk ci mbooloom xare, mi ñuy wax mu Itali.
10:2	Moom nag ku farlu woon ci Yàlla la, te ragal ko, moom ak waa këram gépp; muy sarax ñu bare ci bànni Israyil, tey saxoo ci ñaan ci Yàlla.
10:3	Am bés ci tisbaar nag mu am peeñu, gis bu leer malaakam Yàlla feeñu ko ne ko: «Korney!»
10:4	Noonu Korney ne ko jàkk, daldi tiit ne ko: «Kilifa gi, lu mu doon?» Malaaka ma ne ko: «Say ñaan ak say sarax yéeg na fa kanam Yàlla, te nangul na la.
10:5	Yónnil léegi nag ay nit ci dëkku Yope, ñu woo ku tudd Simoŋ, mi ñu dàkkentale Piyeer.
10:6	Mu nga dal fa Simoŋ wullikat, bi këram nekk ci wetu géej.»
10:7	Bi malaaka mi doon wax ak moom demee, Korney woo ñaar ci ay surgaam ak benn xarekat bu farlu ci Yàlla ci ñi koy topptoo;
10:8	mu nettali leen lépp, yebal leen Yope.
10:9	Ca ëllëg sa, ba ñuy jaar ca yoon wa, ba jub dëkk ba, Piyeer yéeg ca kaw taax ma ci digg-bëccëg ngir ñaan ci Yàlla.
10:10	Noonu xiif dab ko fa, mu bëgg a lekk. Waaye bi ñu koy toggal, Yàlla feeñu ko.
10:11	Mu xool asamaan ubbiku, gis lu mel ni sér bu mag bu ñu téye ci ñeenti laf ya, yoor ko, mu jëm suuf.
10:12	Boroom ñeenti tànk yépp ñu nga ca, ak yiy raam ci suuf, ak picci asamaan.
10:13	Te baat ne ko: «Jógal, Piyeer, rey te lekk.»
10:14	Waaye Piyeer tontu ko: «Mukk, Boroom bi, ndaxte musumaa lekk dara lu daganul mbaa lu araam.»
10:15	Waaye baat bi wax ak moom ñaareelu yoon ne ko: «Lu Yàlla sellal, bu ko araamal.»
10:16	Ñu def ko nag, ba muy ñetti yoon, ba noppi ñu ne cas sér ba, jëme asamaan.
10:17	Bi loolu amee Piyeer jaaxle lool ci lu peeñu miy tekki; fekk booba nit ñi Korney yebal, laajte woon nañu kër Simoŋ, ba agsi ci bunt bi.
10:18	Ñu woote nag naan: «Simoŋ, mi ñu dàkkentale Piyeer, ndax fi la dëkk?»
10:19	Bi Piyeer di rabal xelam ci peeñu ma, Xel mi ne ko: «Ñetti nit a ngi nii, di la wut.
10:20	Jógal, nga wàcc te ànd ak ñoom; bul werante, ndaxte maa leen yebal.»
10:21	Piyeer wàcc nag ne nit ñi: «Maa ngi nii, man mi ngeen di wut; lu doon seeni tànk?»
10:22	Ñu tontu ko: «Korney, njiitu xare ba, nit ku jub la te ragal Yàlla, ba am seede su rafet ci bànni Israyil gépp. Malaaka mu sell nag sant na ko, mu woolu la ci këram te déglu li ngay wax.»
10:23	Ci kaw loolu Piyeer dugal leen, dalal leen. Ba bët setee, Piyeer jóg, dem ak ñoom, ànd ak ñenn ci bokk yi dëkk Yope,
10:24	te bés ba ca topp mu dikk Sesare. Fekk Korney woo na këram ay bokkam ak i xaritam yi ko gën a jege, di xaar Piyeer.
10:25	Bi Piyeer duggee nag, Korney daje ak moom, daanu ciy tànkam, sargal ko.
10:26	Waaye Piyeer yékkati ko ne: «Jógal, man it nit rekk laa.»
10:27	Noonu muy waxtaan ak moom, duggsi, fekk fa ndajem nit ñu bare.
10:28	Mu ne leen: «Xam ngeen ne, aaye nañu Yawut, mu jaxasoo ak ku mu bokkalul xeet, mbaa mu dugg ci këram. Waaye Yàlla won na ma ne, warumaa ne kenn setul mbaa araam na.
10:29	Looloo tax, bi ngeen ma wooloo, ñëw naa ci lu àndul ak werante. Maa ngi leen di laaj nag, lu ngeen may doye?»
10:30	Ci kaw loolu Korney tontu ne: «Ñetti fan a ngii may ñaan ci sama biir kër ci waxtu wii, maanaam tisbaar. Ci saa si ku sol yére yuy melax taxaw ci sama kanam,
10:31	mu ne ma: “Korney, say ñaan nangu na, te say sarax egg nañu fa kanam Yàlla.
10:32	Yónneel nag ci Yope, woolu Simoŋ, mi ñu dàkkentale Piyeer; mu nga dal ci kër Simoŋ miy wullikat ca wetu géej ga.”
10:33	Yónnee naa nag ci ni mu gën a gaawe, woolu la; te maa ngi lay sant ci li nga ñëw. Léegi nag nun ñépp nu ngi fi ci kanam Yàlla, ngir déglu lépp li la Boroom bi sant.»
10:34	Noonu Piyeer jël kàddu ga ne leen: «Ci dëgg gis naa ne, Yàlla du gënale,
10:35	waaye ci xeet yépp, ku ko ragal tey def lu jub, moom la nangu.
10:36	Yónnee na kàddoom bànni Israyil, di leen xebaar jàmm, jaarale ko ci Yeesu Kirist, miy Boroom lépp.
10:37	Xam ngeen li xewoon ci réewum Yawut yépp, li ko tàmbalee ci diiwaanu Galile, topp ci waareb Yaxya, mu naan nit ñi, mu sóob leen ci ndox.
10:38	Xam ngeen ne Yàlla fal na Yeesum Nasaret, sol ko Xel mu Sell mi ak kàttan; muy wër, di def lu baax ak di faj ñépp ñi nekkoon ci kilifteefu Seytaane, ndaxte Yàlla ànd na ak moom.
10:39	«Seede nanu li mu def lépp ci biir réewu Yawut ya ak Yerusalem. Moona rey nañu ko ci wékk ko ci bant.
10:40	Waaye Yàlla dekkal na ko ci ñetteelu fan ba te biral ko,
10:41	waxuma xeet wépp, waaye seede yi Yàlla tànn lu jiitu, maanaam nun ñi daan lekk di naan ak moom gannaaw ndekkiteem.
10:42	Te Yeesu sant na nu, nu yégal xeet wa, di seede ne, moom la Yàlla jagleel àtteb ñiy dund ak ñi dee.
10:43	Yonent yépp seedeel nañu ko ne, ku ko gëm, Yàlla dina la baal say bàkkaar ci turam.»
10:44	Bi Piyeer di wax loolu, Xel mu Sell mi wàcc ci kaw ñépp ñiy déglu kàddu ga.
10:45	Yawut yi gëm yépp nag, ñi ànd ak Piyeer, daldi waaru ci li Yàlla tuur Xel mu Sell, mi mu maye, ci ñi dul Yawut itam.
10:46	Ndaxte dégg nañu leen, ñuy wax yeneeni làkk ak di màggal Yàlla.
10:47	Booba Piyeer daldi wax ne: «Ñii jot Xel mu Sell mi ni nun, ndax manees na leen a bañ a sóob ci ndox?»
10:48	Noonu mu santaane, ñu sóob leen ci ndox ci turu Yeesu Kirist. Gannaaw loolu ñu ñaan ko, mu toog ci ñoom ay fan.
11:1	Bi loolu amee ndaw yi ak bokk yi nekk ci diiwaanu Yude, dégg nañu ne, ñi dul Yawut nangu nañu kàddug Yàlla.
11:2	Bi Piyeer demee Yerusalem nag, kureelu Yawut gi farataal xaraf, di werante ak moom ne ko:
11:3	«Lu tax nga dem ca këru ñu xarafal, bay lekk sax ak ñoom?»
11:4	Noonu Piyeer daldi leen benn-bennal mbir mi, nettali leen ko
11:5	ne: «Nekkoon naa ca dëkku Yope, di fa ñaan ci Yàlla, ba far sama xol seey ci moom; noonu ma am peeñu: lu mel ni sér bu mag wàcc, jóge ci asamaan, ñu yoor ko ca ñeenti laf ya, mu ñëw ba ci man.
11:6	Ma xool ko jàkk, seetlu ko bu baax, ma gis ca boroom ñeenti tànk yu nekk ci kaw suuf, di rabi àll yi, yiy raam ak picci asamaan.
11:7	Te dégg naa baat bu ma ne: “Jógal Piyeer, rey te lekk.”
11:8	Waaye ma tontu ne: “Mukk Boroom bi, ndax dara lu daganul mbaa lu araam musul a dugg ci sama gémmiñ.”
11:9	Waaye ñaareel bi yoon baat bi dellu ne ma: “Lu Yàlla sellal, bu ko araamal.”
11:10	Loolu am ba muy ñetti yoon, ba noppi ñu ne cas lépp, jëme asamaan.
11:11	«Ca saa sa ñetti góor, ña ñu yebal ci man, jóge Sesare, agsi ca kër ga ma dal.
11:12	Te Xel mi ne ma: “Àndal ak ñoom, te bu ci werante.” Juróom-benni bokk, yi fi teew, gunge woon nañu ma, ba nu dugg ca kër góor googu.
11:13	Mu nettali nu ne, gis na malaaka, feeñu ko ca këram ne ko: “Yónneel ca dëkku Yope, woolu Simoŋ, mi ñu dàkkentale Piyeer.
11:14	Dina la xamal ay wax yu lay musal, yaw ak sa waa kër gépp.”
11:15	«Bi ma tàmbalee wax nag, Xel mu Sell mi wàcc ci ñoom, ni mu wàcce woon ci nun bu jëkk.
11:16	Bi loolu amee ma fàttaliku li Boroom bi wax ne: “Yaxya ci ndox la daan sóobe, waaye yéen dees na leen sóob ci Xel mu Sell mi.”
