1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Sosten sunu mbokk,
9:12	Ndegam ñeneen a am sañ-sañ boobu ci yéen, nun kon waxi-noppi. Waaye nag jariñoowunu sañ-sañ boobu. Danuy far muñ lépp, ngir bañ a indi ndog ci yoonu xebaar bu baax bu Kirist bi.
9:13	Xanaa xamuleen ne, ñiy liggéeyal yëf yu sell yi, dañuy lekk ñam, wi ci kër Yàlla gi, te ñiy liggéey ci saraxalukaay bi, dañuy jot seen wàll ci sarax yi?
9:14	Naka noonu it Boroom bi digle na ne, ñiy yégle xebaar bu baax bi, nanu ci dund.
9:15	Waaye man jariñoowuma benn ci sañ-sañ yooyu, te binduma yëf yooyu, ngir ngeen di ma defal yu ni mel. Dee sax moo ma ko gënal — kenn du jële ci man mbir moomu may kañoo!
9:16	Su may yégle xebaar bu baax bi, mënuma cee kañu. Sas la, wu ñu ma sas. Dinaa torox, su ma yéglewul xebaar bu baax bi!
9:17	Su doon ci sama coobare laa yégle xebaar bu baax bi, man naa ci séentu yool. Waaye defuma ko ci sama coobare, ndaxte sas la, wu ñu ma sas.
9:18	Kon nag lan mooy sama yool? Xanaa di yégle xebaar bu baax bi ci dara, te bañ a jariñoo sañ-sañ boobu ma ci yelloo.
9:19	Gor laa te kenn moomu ma; teewul def naa sama bopp jaamu ñépp, ngir man a gindi nit ñu bare ci Kirist.
9:20	Ci biir Yawut yi, sol naa melow Yawut yi, ngir gindi leen. Man ci sama bopp yoonu Musaa jiitalu ma, terewul bi ma nekkee ci biir ñiy sàmm yoonu Musaa, sàmm naa yoon wa, ngir gindi leen.
9:21	Ci biir ñi nekkul ci yoonu Musaa, faalewuma woon yoon wi, ngir gindi leen; waxuma ne, ànduma ak yoonu Yàlla, waaye topp naa yoon ci sama bokk ak Kirist.
9:22	Ci biir ñi néew ngëm, meloon naa ni ku néew ngëm, ngir gindi leen. Doon naa lépp ci ñépp, ngir def lépp lu ma man, ba ñenn mucc ci.
9:23	Damaa def loolu lépp ndax xebaar bu baax bi, ngir man it ma am wàll ci barkeem.
9:24	Xanaa xamuleen ne, ñépp ñooy daw cib rawante, waaye kenn rekk ay jël ndam li? Dawleen nag ngir jël ko.
9:25	Ñiy joŋante ci po muy waral tàggat yaram, dañuy xañ seen bopp lu bare. Dañu koy def, ngir am kaalag ndam gu dul yàgg; waaye nun danu koy def, ngir am kaalag ndam gu sax ba fàww.
9:26	Man nag noonu laay dawe, te duma dawantu. Noonu laay bëree, waaye duma def ni nit kuy dóor ci jaww ji.
9:27	Waaye damay noot sama yaram, ba moom ko, ngir ragal a yégal ñi ci des xebaar bu baax bi, ba noppi Yàlla xañ ma ndam li.
10:1	Bokk yi, bëgguma ngeen umple li daloon sunu maam ya. Ñoom ñépp niir wa tiimoon na leen, te ñoom ñépp jàll nañu géej.
10:2	Sóobu nañu ca ndoxu géej ga ak ca niir wa, ba bokk noonu ci Musaa.
10:3	Ñoom ñépp bokk nañoo lekk ñam, wa Yàlla joxe,
10:4	naan naan ga mu joxe, ndaxte ñu ngi doon naan ca xeer, wa leen doon gunge, te xeer woowa Kirist la woon.
10:5	Teewul ñi ëpp ci ñoom neexuñu woon Yàlla, ba mu fàddoon leen ca màndiŋ ma.
10:6	Mbir yooyu ay misaal lañu, yu nuy artu, ngir benn bëgg-bëgg bu bon bañ noo jiital, na mu leen jiitale woon.
10:7	Buleen jaamu ay xërëm, ni ko ñenn ñi ci ñoom defe woon. Ndaxte Mbind mi nee na: «Mbooloo mi dafa toog, di lekk ak di naan, ba noppi ñu jóg di mbumbaay.»
10:8	Bunu njaaloo, ni ko ñenn ñi ci ñoom defe woon, ba tax ñaar-fukki junni ak ñett ci ñoom dee ci benn bés.
10:9	Bunu diiŋat Kirist, ni ko ñenn ñi ci ñoom defe, ba ay jaan màtt leen, ñu dee.
10:10	Buleen xultu, ni ko ñenn ñi ci ñoom defe woon, ba tax malaakam Yàqkat mi rey leen.
10:11	Mbir yooyu leen daloon misaal la ci nun, te bind nañu ko ngir artu nu, nun ñiy dund ci jamono jii lépp mat.
10:12	Kon nag kiy naw sa doole, ba yaakaar ne taxaw nga, moytul a daanu ci bàkkaar!
10:13	Benn nattu dabu leen bu wuute ak yi dal nit ñépp. Te sax Yàlla kuy sàmm kóllëre la, te du nangu nattu bi wees seen kàttan, waaye cib nattu, dina leen ubbil bunt bu ngeen man a récce, ba ngeen man koo dékku.
10:14	Looloo tax, sama soppe yi, nangeen daw xërëm yi.
10:15	Maa ngi wax ak yéen ñi am xel. Kon seetleen li ma leen wax.
10:16	Kaas bu yiw, bi tax nuy gërëm Yàlla, ndax du wone sunu booloo ak deretu Kirist? Mburu mi nuy damm, xanaa du dafay wone sunu booloo ak yaramu Kirist?
10:17	Ndegam benn mburu rekk a am, kon nun ñépp lu nu baree-bare, menn mbooloo lanu, ndaxte bokk nanu menn mburu mi.
10:18	Seetleen ci bànni Israyil. Ñiy lekk sarax si ñu rendi, ndax booloowuñu ak Yàlla ji ñu jagleel saraxalukaay ba? Aaŋkay!
10:19	Li may wax, lu muy tekki? Ndax yàpp wi ñu jagleel xërëm yi dafay dara? walla xërëm yi dañuy dara?
10:20	Déedéet! Waaye sarax yi xërëmkat yi di rendi, ay rab lañu ko jagleel; jagleeluñu ko Yàlla. Te man bëgguma, ngeen booloo ak rab yi.
10:21	Mënuleen a naan ci kaasu Boroom bi, naan ci kaasu rab yi. Mënuleen a sukk ci reerub Boroom bi, sukk ci reerub rab yi.
10:22	Walla boog ndax danuy jéem a gillil meru Boroom bi? Xanaa noo ko ëpp doole?
10:23	Dafa am ñu naan: «Lépp lanu sañ.» Waaw, waaye du lépp a baax ci nun. «Lépp lanu sañ,» waaye it lépp du yékkati ngëm.
10:24	Bu kenn seet njariñam rekk, waaye nay seet njariñul moroomam.
10:25	Man ngeen a lekk lépp lu ñuy jaay ca ja ba, bañ cee boole ay laaj ngir dalal seen xel.
10:26	Ndaxte Mbind mi nee na: «Àddina ak li ci biiram lépp, Boroom bi moo ko moom.»
10:27	Ku xamul Yàlla nag, bu leen wooyee aw ñam këram, te ngeen nangoo dem, lekkleen lépp lu ñu leen dëj, bañ a laajte dara ngir dalal seen xel.
10:28	Waaye bu leen kenn nee: «Lii sarax la, bu ñu jagleel xërëm yi,» suurleen ko ndax ki leen ko xamal, ngir xel mu dal.
10:29	Waxuma sa xel yaw, waaye xelu keneen laay wax. Waaye nga ne: «Li ma sañ a def, lu tax nit ku xelam dalul di am dara lu mu ciy wax?
10:30	Su ma lekkee dara di ci sant Yàlla, lu tax ñu may wax lu ñaaw, fekk sant naa ci Yàlla.»
10:31	Kon su ngeen di lekk walla ngeen di naan, walla lu ngeen man a def, defleen lépp ngir màggal Yàlla.
10:32	Buleen def dara lu man a fanq ngëmu Yawut yi walla ñi dul Yawut walla mbooloom Yàlla.
10:33	Noonu laay def man ci sama bopp: damay wut a neex ñépp ci lépp. Wutuma lu may jariñ, waaye luy jariñ ñu bare laay wut, ngir ñu mucc.
11:1	Royleen ma nag, ni may roye Kirist.
11:2	Maa ngi leen di sant ci li ngeen may fàttaliku ci lépp, ak ci li ngeen di topp dénkaane, yi ma leen dénk.
11:3	Waaye nag bëgg naa ngeen xam lii: Kirist mooy kilifag bépp góor, góor di kilifag jigéen, te Yàlla di kilifag Kirist.
11:4	Kon nag góor guy ñaan Yàlla, walla muy wax ci kàddug Yàlla, fekk mu teg dara ci boppam, day suufeel Kirist, kilifaam.
11:5	Waaye bu jigéen musóoruwul, buy ñaan walla buy wax ci kàddug Yàlla, kooku day suufeel jëkkëram jiy kilifaam, ndaxte day mel ni jigéen ju ñu wat.
11:6	Jigéen ju dul musóoru, bu yaboo, mu watu. Waaye su fekkee ne jigéen dafay am kersa, su wàññee kawaram walla mu watu, fàww kon mu musóoru.
11:7	Góor nag moom warul a teg dara ci boppam, ndaxte mooy melokaanu Yàlla te dafay wone ndamu Yàlla. Jigéen moom dafay wone ndamu góor.
11:8	Ndaxte jëlewuñu góor ci jigéen, waaye jigéen lañu jële ci góor.
11:9	Te sàkkuñu góor ngir jigéen, waaye jigéen lañu sàkk ngir góor.
11:10	Looloo tax jigéen war a teg ci kaw boppam luy màndargaal kilifteef ga, ndax malaaka yi.
11:11	Teewul nag ci sunu booloo ak Boroom bi, jigéen a ngi wéeru ci góor, te góor a ngi wéeru ci jigéen.
11:12	Ni ñu sàkke jigéen ci góor, noonu la góor juddoo ci jigéen, te lépp a ngi jóge ca Yàlla.
11:13	Seetleen mbir mii: ndax jekk na jigéen bañ a musóoru, buy ñaan Yàlla?
11:14	Xanaa du àddina ci boppam dafa leen di won ne, gàcce la ci góor, ngir muy yar kawar gu bare?
11:15	Waaye loolu nag ab taar la ci jigéen. Dañoo jagleel jigéen kawar gu gudd, muy muuraay ci moom.
11:16	Waaye su kenn bëggee werante ci mbir moomu, na xam lii: amunu beneen aada ci njàng mi, du nun walla mboolooy Yàlla.
11:17	Bi may tollu ci ndigal yi, mënuma leen a sant, ndaxte seeni ndaje loraange lañuy jur, waaye du njariñ.
11:18	Ci bu jëkk dégg naa lii: bu ngeen di daje, am na ci yéen ñuy féewaloo, te xaw naa koo gëm.
11:19	Fàww mu am ay féewaloo ci seen biir, ngir ñu man a xàmmi ñi neex Yàlla ci yéen.
11:20	Bu ngeen dajee, mënuleen a wax ne reeru Boroom bi ngeen di lekk.
11:21	Ndaxte bu ngeen dee lekk, ku nekk dafay gaawantu di lekk reeram, ba tax ñenn ñaa ngi xiif, fekk ñeneen di màndi.
11:22	Xanaa amuleen kër yu ngeen di lekke ak di naane? Walla ndax dangeen a xeeb mbooloom Yàlla? Walla ngeen bëgg a rusloo ñi amul dara? Lu ma leen ci war a wax nag? Ma gërëm leen ci loolu? Mukk! Gërëmuma leen.
11:23	Li ma jële ci Boroom bi, moom laa leen jottali: Boroom bi Yeesu, ci guddi gi ñu ko woree, dafa jël mburu,
11:24	sant Yàlla, damm ko ne: «Lii sama yaram la, wi ma joxe ngir yéen. Defleen lii, ngir fàttaliku ma.»
11:25	Noonu itam bi ñu lekkee ba noppi, mu jël kaas bi ne leen: «Kaas bii mooy misaal kóllëre gu bees, gi Yàlla fas jaarale ko ci sama deret. Defleen lii ngir fàttaliku ma.»
11:26	Ndaxte saa su ngeen di lekk mburu mii, walla ngeen di naan ci kaas bii, yéena ngi yégle deewu Boroom bi, ba kera muy ñëw.
11:27	Kon nag képp ku jekkadi ni mu lekke ci mburu mi te naane ni ci kaasu Boroom bi, tooñ nga yaramu Boroom bi ak deretam.
11:28	Na ku nekk seetlu boppam nag, sog a lekk ci mburu mi te naan ci kaas bi.
11:29	Ku lekk mburu mi, naan ci kaas bi, fekk faalewuloo solos yaramu Kirist wi, sa lekk ak sa naan dina xëcc àtteb Yàlla ci sa kaw.
11:30	Looloo tax ñu bare ci yéen wopp te ñàkk doole, ba ñenn ñi faatu.
11:31	Su nu doon seetlu sunu bopp ni mu ware, kon àtte du nu dal.
11:32	Waaye bu nu Boroom bi dee àtte, da nuy yar ngir bañ noo boole ci mbugalu àddina.
11:33	Noonu nag bokk yi, bu ngeen dajee, di lekk reeru Boroom bi, nangeen xaarante.
11:34	Ku xiif, na lekke këram, ngir bañ a indi ci yéen àtteb Yàlla ndax seen ndaje yi. Yeneen fànn yi ci des nag, bu ma ñëwee ci yéen, dinaa ko seet.
12:1	Léegi nag bokk yi, ci li jëm ci mayi Xelum Yàlla, bëgguma ngeen umple ci dara.
12:2	Xam ngeen ne, bi ngeen xamagul woon Yàlla, xërëm, yi mënul a wax, ñoo leen jiitaloon, di leen wommat.
12:3	Moo tax ma leen di xamal lii: ku Xelum Yàlla solu du wax ne: «Yeesu dafa araam.» Te it kenn mënul a wax ne: «Yeesu mooy Boroom bi,» su ko ko Xelum Yàlla waxloowul.
12:4	Am na fànni may yu bare yu jóge ci Xelum Yàlla, waaye menn Xel moomu moo koy séddale.
12:5	Am na ay sas yu bare, waaye benn Boroom bi la.
12:6	Am na ay fànn yu bare yu Yàllay feeñale dooleem, waaye jenn Yàlla ji mooy jëfe doole yooyu yépp ci ñépp.
12:7	Noonu Yàlla jox na ku nekk fànn gu muy feeñale Xelam mu Sell mi ngir njariñul ñépp.
12:8	Am na ku Yàlla sédde, jaarale ko ci Xelam, mayu wax ak xel mu leer, keneen am mayu xam-xam, te mu bawoo ci menn Xel mi.
12:9	Keneen it menn Xel mi jox ko ngëm, keneen di wéral ay jàngoro ci kàttanu Xel moomu,
12:10	keneen di def ay kéemaan, am kuy wax ci kàddug Yàlla, am keneen kuy ràññee li jóge ci Xelum Yàlla ak li jóge ci yeneen xel yi, keneen it di wax ay xeeti làkk, ak kuy firi làkk yooyu.
12:11	Loolu lépp, menn Xel moomu moo koy def, ku nekk mu sédd la ci, ni mu ko soobe.
12:12	Noona la ci yaramu nit. Yaram wenn la, teewul am na cér yu bare. Waaye céri yaram yépp, ak li ñuy baree-bare, ñoo bokk, doon wenn yaram. Te noonu la Kirist mel.
12:13	Yàlla sóob na nu ci menn Xelam mi, ngir nu doon wenn yaram: nuy Yawut walla nu dul Yawut, nuy jaam mbaa gor, nun ñépp Yàlla may na nu, nu naan ci menn Xel mi.
12:14	Yaram du benn cér, waaye cér yu bare la.
12:15	Kon bu tànk nee: «Man duma loxo, kon bokkuma ci yaram,» du ko teree bokk ci céri yaram yi.
12:16	Te bu nopp nee: «Duma bët, kon bokkuma ci yaram,» du ko teree bokk ci céri yaram yi.
12:17	Bu yaram wépp doon bët, kon nan lay dégge? Walla bu yaram wépp doon nopp, kon nan lay xeeñtoo?
12:18	Waaye Yàlla dafa riime céri yaram wi, def bu ci nekk fa mu ko soobe.
12:19	Bu lépp doon benn cér, kon fu yaram di nekk?
12:20	Cér yi daal, bare nañu waaye wenn yaram rekk a am.
12:21	Bët nag mënul ne loxo: «Soxlawuma la!» Te bopp it mënul ne tànk yi: «Soxlawuma leen!»
12:22	Loolu sax mënul a am, ndaxte céri yaram, yi gën a néew doole, ñoo gën a am jariñ.
12:23	Te cér yi gën a ñàkk maana, ñoom lanuy gën a topptoo. Cér yi ci rafetul a tudd, ñoom lanuy gën a suturaal,
12:24	fekk yi gën a rafet, soxlawul nu leen di suturaale noonu. Waaye Yàlla dafa boole sunu céri yaram yi, ngir gën a teral cér yi ko soxla.
12:25	Noonu yaram du séddaloo, waaye cér bu ci nekk dina dimbali yi ci des.
12:26	Bu sa benn céru yaram dee metti, yeneen yi ci des yépp dañuy bokk, yég metit wi. Te bu dee dangaa fonk sa benn céru yaram it, ndax du sa yaram wépp a ciy bànneexu?
12:27	Léegi benn yaram ngeen, muy yaramu Kirist, te kenn ku nekk ci yéen cér nga ci.
12:28	Te Yàlla teg na ci mbooloom ñi gëm, ku nekk ak sa may: ci bu jëkk ay ndawi Kirist, teg ca ñiy wax ci kàddug Yàlla, teg ca ñiy jàngale, ñiy def ay kéemaan, ñi am mayu wéral ay jàngoro, ñiy dimbalee, ñiy jiite, ñiy wax ay xeeti làkk.
12:29	Ndax ñépp ay ndawi Kirist lañu? Ndax ñépp dañuy wax ci kàddug Yàlla? Ndax ñépp ay jàngale? Ndax ñépp ay def kéemaan?
12:30	Ndax ñépp a am mayu wéral ay jàngoro? Ndax ñépp ay wax ay làkk? Ndax ñépp a leen di firi?
12:31	Waaye fonkleen may yi gën. Léegi nag ma won leen yoon wu gën lépp.
13:1	Su fekkee ne damay wax làkki nit ñi ak yu malaaka yi sax, te boolewuma ci mbëggeel, duma dara lu dul ndënd muy riir, walla jóolóoli buy kandaŋ-kandaŋi.
13:2	Su ma yéglee wax ju tukkee ci Yàlla, ma xam lépp luy kumpa, ma yor xam-xam bépp, te gëm Yàlla ba man a randal ay tund, fekk boolewuma ci mbëggeel, duma dara.
13:3	Te it su ma doon saraxe li ma am lépp, di bàyyi ñu lakk sama yaram, ba rey ma, su ma ci boolewul mbëggeel, du ma jariñ dara.
13:4	Ku bëgg dafay muñ te laabiir. Ku bëgg du kiñaan, du kañu, du tiitaru,
13:5	du def lu jekkadi, du wut njariñu boppam, du naqari deret, du ñaaw njort.
13:6	Du bég ci lu awul yoon, waaye dina bég ci lépp luy jollil dëgg.
13:7	Mbëggeel day baale lépp, am gëm ci lépp, yaakaar lépp, muñ lépp.
13:8	Mbëggeel amul àpp. Ñiy wax ci kàddug Yàlla dinañu noppi, ñiy wax ay làkk dinañu ko bàyyi, ñiy xamle xam-xamu Yàlla wàcc.
13:9	Xam-xam bi nu am des na, te ni nu jottalee xebaar bi nu Yàlla dénk des na.
13:10	Waaye li mat, bu dikkee, li matul jóge fi.
13:11	Bi ma dee xale, dama doon wax ni xale, di dégge ni xale, di xalaate ni xale. Waaye bi ma doonee mag, bàyyi naa lu bokkoon cig ndaw.
13:12	Tey jii gis bu lëndëm lanuy gis, ni takkandeer ci seetu bu lëndëm, bu ëllëgee dinanu gis jaxran. Tey jii sama xam-xam des na, bu ëllëgee dinaa xam ba mat sëkk, ni ma Yàlla xame.
13:13	Léegi nag ñett yii ñooy sax: ngëm, yaakaar, mbëggeel; te mbëggeel moo ci raw.
14:1	Xintewooleen mbëggeel te fonk mayi Xelum Yàlla, rawatina mayu wax ci kàddug Yàlla,
14:2	ndaxte kiy wax aw làkk, waxul ak nit ñi, waaye Yàlla lay waxal, ndaxte kenn déggul li muy wax. Dafay wax ay mbóot ci xelam.
14:3	Waaye kiy jottali kàddug Yàlla, nit ñi lay waxal ngir yékkati seen ngëm, di leen dénk ak a dëfël.
14:4	Kiy wax aw làkk dafay yokk boppam, waaye kiy wax ci kàddug Yàlla, dafay yokk ngëmu mbooloo mi.
14:5	Léegi nag bëgg naa yéen ñépp, ngeen di wax ay làkk, waaye li ma gënal mooy ngeen di wax ci kàddug Yàlla. Kiy wax ci kàddug Yàlla moo gën kiy wax ay làkk, su firiwul li muy wax, ngir ngëmu mbooloo mi yokku.
14:6	Kon nag bokk yi, su ma ñëwee ci yéen, di wax ay làkk, lu ma leen di jariñ? Dara, su ma leen indilul dëgg gu Yàlla feeñal, walla xam-xam walla kàddu gu tukkee ca Yàlla, walla am njàngale.
14:7	Noonu la mel itam ci yëf yi dundul tey riir, ni toxoro walla xalam. Su li ci jibe leerul, naka la nit man a ràññee li mbiibi toxoro walla buumi xalam di wax?
14:8	Rax-ca-dolli su liit gi jibul bu leer, kuy man a waajal xare ba?
14:9	Noonu itam bu ngeen génnewul ay wax yu leer ci seen gémmiñ, nan lañuy man a xame li ngeen di wax? Dingeen wax cig neen!
14:10	Xawma ñaata xeeti làkk a am ci àddina, te wu ci nekk am na lu muy tekki.
14:11	Su ma xamul nag làkk wi ñu may làkk, doxandéem laay doon ci ki koy wax, te ki koy wax it doxandéem la ci man.
14:12	Yéen itam, gannaaw dangeen a fonk mayi Xelum Yàlla, jéemleen a ëpple ci liy yokk ngëmu mbooloo mi.
14:13	Looloo tax kiy wax aw làkk, na ñaan ngir mu man a firi li looluy tekki.
14:14	Su may ñaan Yàlla ci aw làkk, sama xol day ñaan, waaye sama xel amalul kenn njariñ.
14:15	Kon nag lu muy indi? Bu may ñaan, dinaa ànd ak sama xol, àndaale ak sama xel. Bu may woy, dinaa ànd ak sama xol, àndaale ak sama xel.
14:16	Walla, boo dee gërëm Yàlla, ànd ci ak sa xol rekk, kon ku musul a jàng mbir yooyu, nan la man a waxe: «Amiin,» ci sa cant Yàlla googu? Ndaxte xamul li ngay wax.
14:17	Dëgg la, dangay sant Yàlla bu baax, waaye ki ci des, ngëmam yokkuwul.
14:18	Maa ngi sant Yàlla ci li may wax ay làkk, ba raw leen yéen ñépp.
14:19	Waaye ci ndajem mbooloom ñi gëm, wax juróomi baat yu am njariñ, ngir jàngal ñi ci des, moo ma gënal wax fukki junniy baat ciw làkk.
14:20	Bokk yi, buleen melati ni ay xale, ci ni ngeen di xalaate. Ci lu jëm ci lu bon, mel-leen ni ay xale, waaye ci seeni xalaat, mel-leen ni ay mag.
14:21	Bind nañu ci téereb yoon wi:«Dinaa wax ak mbooloo mii,jaare ko ci ay nit, ñuy wax yeneen làkk,ak ay gémmiñi doxandéem,waaye ba tey duñu ma déglu.» Moom la Boroom bi wax.
14:22	Ci noonu wax ay làkk, firnde la ci ñi gëmul, te du firnde ci ñi gëm. Te it wax ci kàddug Yàlla, du firnde ci ñi gëmul, waaye firnde la ci ñi gëm.
14:23	Kon nag su fekkee ku jàngul mbiri Kirist walla ku gëmul dugg ca mbooloo ma, fekk ñépp di wax ay làkk, ndax du wax ne, dangeen a dof?
14:24	Waaye bu ñépp dee wax ci kàddug Yàlla, te ku gëmul dugg fa, walla ku jàngul mbiri Kirist, wax yi ñépp wax dafay wone bàkkaaram te àtte ko,
14:25	ba kumpay xolam feeñ. Bu ko defee dina dëpp jëwam ci suuf, di màggal Yàlla te naan: «Dëgg-dëgg Yàllaa ngi ci seen biir.»
14:26	Kon nag bokk yi, lu muy indi? Bu ngeen dajee, kii am aw taalif, kii am njàngale, kii dëgg gu Yàlla feeñal, kii di wax aw làkk, kee di ko firi. Na loolu lépp aw ci yoonu yokk ngëmu mbooloo mi.
14:27	Su amee kuy wax aw làkk, na ñaar wax walla gën gaa bare ñett. Nañu ko toppante, te kenn di firi.
14:28	Su amul kuy firi, kooku di wax aw làkk, na noppi ci ndajem mbooloo mi. Na waxanteek Yàlla ci xolam.
14:29	Ci ñiy wax ci kàddug Yàlla nag, na ñaar walla ñett wax, te ñi ci des ràññee li ñuy wax.
14:30	Su amee ku toog te Yàlla feeñal ko dëgg, na ki doon wax noppi.
14:31	Yéen ñépp man ngeen a kenn-kennoo wax ci kàddug Yàlla, ngir ñépp jàng te dégg li ñu leen di dénk.
14:32	Ñiy jottali kàddug Yàlla dañoo moom seen xel,
14:33	ndaxte Yàlla du Yàllay lëj-lëj waaye Yàllay jàmm la. Ci mboolooy gaayi Yàlla yépp,
14:34	na jigéen ñi noppi ci ndaje mi, ndaxte sañuñu faa wax. Nañu doon jigéen ñu nangu, ni ko yoon wi tërale.
14:35	Te su ñu bëggee laaj dara, nañu ko laaj seen jëkkër ca kër ga, ndaxte jigéen di wax ci ndajem mbooloom ñi gëm, gàcce la.
14:36	Ndax ci yéen la kàddug Yàlla sosoo? Walla ndax ci yéen rekk la agsi?
14:37	Su kenn xalaatee ne, mooy wax ci kàddug Yàlla, walla mu xalaat ne, Xelum Yàlla jagleel na may, na nangu ne lii ma leen bind ndigalu Boroom bi la.
14:38	Te su ko xeebee it, ñu xeeb ko.
14:39	Kon nag bokk yi, farluleen ci di wax ci kàddug Yàlla, te buleen tere kenn muy wax ay làkk.
14:40	Waaye nag, na lépp di dox ciy teggin te aw yoon.
15:1	Léegi nag bokk yi, maa ngi leen di fàttali xebaar bu baax bi ma leen yégal. Xebaar bu baax boobu, nangu ngeen ko te yéena ngi ciy sax.
15:2	Ci moom ngeen jaare, ba mucc, bu ngeen téyee bu dëgër njàngale mi, ni ma leen ko yégale. Walla xanaa boog gëm ngeen ko cig neen?
15:3	Li ma jotoon, jottali naa leen ko, te moo jëkk ci maana yi: Kirist dee na ngir dindi sunuy bàkkaar, ni ko Mbind mi tërale,
15:4	suul nañu ko, mu dekki ca ñetteelu fan ba, ni ko Mbind mi tërale.
15:5	Feeñu na Sefas, teg ca fukki taalibe ya ak ñaar.
15:6	Gannaaw ga feeñu na lu ëpp juróomi téeméeri bokki taalibe ci benn yoon. Te ñu bare ci ñoom ñu ngi dund ba léegi, waaye am na ci ñu nelaw.
15:7	Ba noppi feeñu na Saag ak ndawi Kirist yépp.
15:8	Man nag la mujj a feeñu, ma mel ni liir bu judduwul ci jamonoom.
15:9	Ndaxte maa gën a ñàkk solo ci ndawi Kirist yi, te yeyoowuma sax, ñu may wooye ndaw, man mi doon fitnaal mbooloom Yàlla.
15:10	Waaye nag yiwu Yàlla moo tax ma doon li ma doon, te yiw, wi mu wone ci man, du cig neen. Waaye sax maa gën a liggéey ñi ci des ñépp: du ci man, waaye yiwu Yàlla, wiy jëf ci man, moo tax.
15:11	Noonu nag muy man muy ñoom, dénkaane boobu lanuy yégle, te moom ngeen gëm.
15:12	Waaye su nu yéglee ne, Kirist dekki na, nan la ñenn ñi ci yéen man a waxe ne, néew yi duñu dekki?
15:13	Su fekkee ne ñi dee duñu dekki, kon Kirist it dekkiwul.
15:14	Te su Kirist dekkiwul, sunu waare day neen, te it seen ngëm day neen.
15:15	Rax-ca-dolli gis nañu ne, seedeel nanu Yàlla ay fen, ndaxte seede nanu ci mbiram ne, dekkal na Yeesu, te fekk dekkalu ko, su néew yi dul dekki.
15:16	Su néew yi dul dekki, Kirist moom it dekkiwul.
15:17	Te su Kirist dekkiwul, seen ngëm du am solo, ba tey yéena ngi ci seeni bàkkaar.
15:18	Te it ñi dee ba noppi ci Kirist sànku nañu.
15:19	Su fekkee ci giiru dund gii rekk la sunu yaakaar ci Kirist ame solo, kon noo gën a mat a yërëm ñépp.
15:20	Waaye léegi Kirist dekki na, di ku jëkk a dekki, ni gub yi ñu jëkk a tànne ci ngóob mi, jagleel leen Yàlla.
15:21	Gannaaw ci nit la dee jaar, dugg àddina, kon it ci nit la ndekkite jaar.
15:22	Kon ni ñépp deeye ci seen bokk ci Aadama, noonu la ñépp di dundaate ci seen bokk ci Kirist.
15:23	Waaye ku nekk ak ayam. Kirist moo jëkk, mel ni gub yi ñu jëkk a tànne ci ngóob mi, ba noppi, bu Kirist dellusee, ñi bokk ci moom jël seen ay.
15:24	Gannaaw ga, mujug jamono taxaw, te Kirist dina noot gépp kilifa ak bépp sañ-sañ ak doole, ba noppi delloo nguur gi kiy Yàlla di Baayam.
15:25	Ndaxte fàww Kirist nguuru, ba kera Yàlla di daaneel noonam yépp ciy tànkam.
15:26	Noon bu mujj, bi mu fiy jële, mooy dee.
15:27	Ndaxte Mbind mi nee na: «Yàlla nootal na ko lépp, mu teg ci tànk.» Waaye bu Mbind mi nee, «noot na lépp,» wóor na ne, moom mi ko nootal lépp, génne na ci boppam.
15:28	Léegi bu ñu ko nootalee lépp nag, moom Kirist muy Doom ji dina delloo kilifteef gi Yàlla, mi ko nootal lépp, ngir Yàlla nekk buur ci lépp.
15:29	Su ndekkite amul, kon ñi ñu sóob ci ndox ngir ñi dee, lu mu leen di jariñ? Su dekki amul, kon lu tax ñu leen di sóob ngir ñi dee?
15:30	Te nun it lu tax fu nu tollu nu jaay sunu bakkan?
15:31	Bokk yi, ni ma damoo ci yéen ndax Yeesu Kirist, ni la ma wóore ne, bés bu nekk ma riisu dee.
15:32	Su fekkee ne ci ni ñu ko waxe, xeex naa ca dëkku Efes ak rabi àll, kon ban njariñ la may amal? Su néew yi dul woon dekki, am na lu ci léeb wax:«Nanu lekk di naan, ndaxte ëllëg dinanu dee.»
15:33	Bu leen ko réere mbir: «Ànd bu bon dina yàq nit ku baax.»
15:34	Delloosileen xel yi te bàyyi bàkkaar, ndaxte am na ci yéen, ñu umple Yàlla. Kon war ngeen a rus!
15:35	Waaye dina am kuy naan: «Nan la néew yi di dekkee? Wan yaram lañuy dellusee?»
15:36	Yaa gàtt xel! Li ngay ji, du jebbi dund gu bees, fi ak deewul ba noppi.
15:37	Te li ngay ji du jëmmi gàncax giy ñëwi, waaye pepp kese la, maanaam dugub, walla weneen jiwu.
15:38	Noonu Yàlla jox ko jëmm ju ko neex, jiwu wu nekk ak jëmmam.
15:39	Jëmmi mbindeef yépp a wuute: nit ak jëmmam, mala, picc, jën — yu ci nekk ak sa jëmmi bopp.
15:40	Am na itam ay jëmm ca asamaan ak ay jëmm ci suuf. Leeru jëmm ca asamaan wuute na ak gi ci suuf.
15:41	Jant bi, weer wi ak biddiiw, lu nekk ak sag leer. Te it leeru biddiiw bu nekk dina wuute ak moroomam.
